09:31:28.485 -> Raw,Filtered
09:31:29.064 -> 10119566.00,10119566.00
09:31:29.810 -> 9029411.00,9988747.00
09:31:30.562 -> 8560748.00,9817387.00
09:31:31.319 -> 8299999.00,9635301.00
09:31:32.116 -> 8133928.50,9455136.00
09:31:32.874 -> 7973684.50,9277362.00
09:31:33.588 -> 7895652.00,9111557.00
09:31:34.349 -> 7818966.00,8956446.00
09:31:35.104 -> 7743590.50,8810903.00
09:31:35.865 -> 7743590.50,8682825.00
09:31:36.655 -> 7669492.00,8561225.00
09:31:37.412 -> 7669492.00,8454217.00
09:31:38.170 -> 7669492.00,8360050.00
09:31:38.895 -> 7669492.00,8277183.00
09:31:39.685 -> 7669492.00,8204260.00
09:31:40.443 -> 7669492.00,8140088.00
09:31:41.195 -> 7596638.50,8074874.00
09:31:41.946 -> 7596638.50,8017485.50
09:31:42.699 -> 7596638.50,7966983.50
09:31:43.449 -> 7596638.50,7922542.00
09:31:44.233 -> 7596638.50,7883433.50
09:31:44.973 -> 7596638.50,7849018.00
09:31:45.737 -> 7596638.50,7818732.50
09:31:46.509 -> 7525000.50,7783484.50
09:31:47.258 -> 7525000.50,7752466.50
09:31:47.995 -> 7525000.50,7725170.50
09:31:48.753 -> 7525000.50,7701150.00
09:31:49.559 -> 7525000.50,7680012.00
09:31:50.269 -> 7525000.50,7661410.50
09:31:51.027 -> 7525000.50,7645041.00
09:31:51.806 -> 7525000.50,7630636.00
09:31:52.563 -> 7525000.50,7617959.50
09:31:53.342 -> 7525000.50,7606804.50
09:31:54.095 -> 7525000.50,7596988.00
09:31:54.862 -> 7525000.50,7588349.50
09:31:55.610 -> 7525000.50,7580747.50
09:31:56.338 -> 7525000.50,7574058.00
09:31:57.123 -> 7525000.50,7568171.00
09:31:57.885 -> 7525000.50,7562990.50
09:31:58.630 -> 7525000.50,7558431.50
09:31:59.392 -> 7454546.00,7545965.00
09:32:00.136 -> 7454546.00,7534994.50
09:32:00.889 -> 7525000.50,7533795.00
09:32:01.672 -> 7454546.00,7524285.00
09:32:02.405 -> 7454546.00,7515916.50
09:32:03.169 -> 7454546.00,7508552.00
09:32:03.951 -> 7454546.00,7502071.00
09:32:04.689 -> 7454546.00,7496368.00
09:32:05.443 -> 7454546.00,7491349.50
09:32:06.225 -> 7454546.00,7486933.00
09:32:06.982 -> 7454546.00,7483046.50
09:32:07.719 -> 7454546.00,7479626.50
09:32:08.500 -> 7454546.00,7476617.00
09:32:09.228 -> 7454546.00,7473968.50
09:32:10.013 -> 7454546.00,7471637.50
09:32:10.747 -> 7454546.00,7469586.50
09:32:11.542 -> 7454546.00,7467781.50
09:32:12.295 -> 7454546.00,7466193.00
09:32:13.043 -> 7454546.00,7464795.50
09:32:13.808 -> 7454546.00,7463565.50
09:32:14.552 -> 7454546.00,7462483.00
09:32:15.324 -> 7454546.00,7461530.50
09:32:16.057 -> 7454546.00,7460692.50
09:32:16.814 -> 7454546.00,7459955.00
09:32:17.605 -> 7454546.00,7459306.00
09:32:18.330 -> 7385245.50,7450418.50
09:32:19.091 -> 7385245.50,7442597.50
09:32:19.845 -> 7385245.50,7435715.50
09:32:20.622 -> 7454546.00,7437975.00
09:32:21.387 -> 7385245.50,7431647.50
09:32:22.153 -> 7385245.50,7426079.50
09:32:22.888 -> 7454546.00,7429495.50
09:32:23.638 -> 7454546.00,7432501.50
09:32:24.433 -> 7385245.50,7426831.00
09:32:25.183 -> 7454546.00,7430156.50
09:32:25.925 -> 7454546.00,7433083.00
09:32:26.693 -> 7454546.00,7435658.50
09:32:27.463 -> 7454546.00,7437925.00
9:32:28.188 -> 7454546.00,7439919.50
09:32:28.978 -> 7454546.00,7441674.50
09:32:29.716 -> 7454546.00,7443219.00
09:32:30.466 -> 7454546.00,7444578.00
09:32:31.223 -> 7454546.00,7445774.00
09:32:32.011 -> 7454546.00,7446826.50
09:32:32.741 -> 7454546.00,7447753.00
09:32:33.524 -> 7454546.00,7448568.00
09:32:34.258 -> 7454546.00,7449285.50
09:32:35.035 -> 7454546.00,7449916.50
09:32:35.773 -> 7385245.50,7442156.00
09:32:36.572 -> 7454546.00,7443642.50
09:32:37.291 -> 7454546.00,7444951.00
09:32:38.071 -> 7454546.00,7446102.50
09:32:38.804 -> 7454546.00,7447115.50
09:32:39.587 -> 7454546.00,7448007.00
09:32:40.350 -> 7454546.00,7448791.50
09:32:41.114 -> 7454546.00,7449482.00
09:32:41.838 -> 7454546.00,7450089.50
09:32:42.597 -> 7454546.00,7450624.00
09:32:43.381 -> 7454546.00,7451094.50
