temps;ReferenceFixe;Sonde2;Sonde3;Sonde4;Sonde5;Sonde6;Sonde7;waterMak
date;heure,ReferenceFixe,Sonde2,Sonde3,Sonde4,Sonde5,Sonde6,Sonde7,waterMak
2026-7-10;16:13:17,421.59,407023070.00,7635.21,493783840.00,21786.67,76628.29,477568770.00,19579.86
2026-7-10;16:22:55,414.59,66740796.00,7635.54,50368756.00,21928.39,82290.08,31462588.00,20277.31
2026-7-10;17:23:38,424.64,40439084.00,8172.29,70822744.00,23663.87,116331.00,69424720.00,20930.34
2026-7-10;18:24:20,425.53,42447924.00,8744.21,71218688.00,25388.20,123295.60,72584488.00,21966.75
2026-7-10;19:25:3,424.25,37349244.00,9241.03,70870792.00,26780.80,128512.01,69185600.00,23483.36
2026-7-10;20:25:45,425.23,42164672.00,9683.39,74171760.00,28075.08,133995.20,71870376.00,25380.97
2026-7-10;21:26:28,427.20,40763272.00,10106.15,73215288.00,29310.93,139676.78,71771616.00,27585.62
2026-7-10;22:27:10,425.33,41528116.00,10508.20,71218688.00,30428.93,145650.67,71521008.00,29875.51
2026-7-10;23:27:53,426.12,40664680.00,10929.78,75099480.00,31586.11,152478.63,73742440.00,32294.13
2026-7-11;0:28:35,424.53,43204252.00,11347.94,73107688.00,32749.69,159955.27,74277224.00,35037.79
2026-7-11;1:29:18,427.01,43893524.00,11793.68,71369528.00,33952.48,167340.11,70626416.00,37974.16
2026-7-11;2:30:0,425.43,39898856.00,12208.66,75945648.00,35130.68,174771.09,71820968.00,40989.09
2026-7-11;3:30:43,425.63,42679020.00,12633.08,73369552.00,36283.34,181749.66,73266640.00,44068.62
2026-7-11;4:31:25,425.72,40698020.00,13076.07,72328184.00,37430.02,188236.50,73846688.00,47229.83
2026-7-11;5:32:8,425.83,42947996.00,13496.38,74547536.00,38492.26,193815.44,74494376.00,50459.06
2026-7-11;6:32:50,427.59,43856604.00,13928.98,72690552.00,39574.11,199872.08,74224448.00,53933.43
2026-7-11;7:33:33,426.32,41108888.00,14347.23,73690424.00,40639.77,206205.77,70870792.00,57471.04
2026-7-11;8:34:15,426.81,41442272.00,14756.63,72278144.00,41569.69,211916.03,70822744.00,61197.29
