temps_ms,valeur
1423,830558.00
2647,830099.68
1457,70908888.00
2679,58123724.00
1423,55314536.00
2647,63411276.00
3870,63898424.00
5093,65073652.00
6317,67247512.00
7540,59075688.00
8764,62741440.00
9987,69975528.00
11210,63039840.00
12434,67673776.00
13658,69135192.00
14880,60498548.00
16104,67844272.00
17328,62729272.00
18551,67125744.00
19775,60598016.00
20998,64148072.00
22221,66315864.00
23445,64349024.00
24669,63752288.00
25892,76795536.00
27115,64832104.00
28339,58070952.00
29565,58984360.00
30789,64696128.00
32012,72362536.00
33235,65654156.00
34459,59978936.00
35683,66395008.00
36905,63673120.00
38129,76077008.00
39353,65329396.00
40577,60397068.00
41799,69975528.00
43023,66151456.00
44247,71047272.00
45470,66395020.00
46693,59432920.00
47917,62359848.00
49140,69805008.00
50364,62991116.00
51587,66882176.00
52810,75772520.00
54034,65286760.00
55258,63681216.00
56480,69805016.00
57704,57236756.00
58928,61706280.00
60151,60427520.00
61374,65349684.00
62601,60001268.00
63824,61888952.00
65048,69805032.00
66271,68526256.00
67494,63141312.00
68718,64909224.00
69942,65591232.00
71164,62522260.00
72388,69293528.00
73612,64903128.00
74835,61968104.00
76058,64781352.00
77282,65116264.00
78505,64178528.00
79729,65165000.00
80952,68952528.00
82176,71296896.00
83399,60198156.00
84623,65116264.00
85846,72240736.00
87069,62911960.00
88293,68270528.00
89517,70657512.00
90739,67545896.00
91963,59217772.00
93187,69378768.00
94410,60902488.00
95637,71936280.00
96860,71012720.00
98083,61428184.00
99307,69378768.00
100531,69805016.00
101753,64434292.00
102977,69975528.00
104201,71083776.00
105424,62449152.00
106647,58649432.00
107871,68526272.00
109094,65165000.00
110318,62607496.00
111542,68100024.00
112764,61623232.00
113988,56418732.00
115212,54423476.00
116435,33318012.00
117658,48766.90
118882,456.35
120105,201.82
121328,245.96
122551,240.96
123774,231.05
124997,206.50
126221,211.39
127443,186.72
128667,191.57
129890,191.50
131110,161.94
132334,186.60
133557,152.07
134780,161.95
136003,374.69
137227,333.96
138449,266.87
139673,107.65
140896,366.80
142118,97.85
143342,97.85
144565,107.66
145788,378.02
147011,545.06
148234,241.23
149457,882.42
150680,872.77
151904,1030.93
153126,191.33
154350,265.43
155573,280.22
156796,250.59
158019,285.16
159243,285.17
160465,265.47
161688,295.01
162912,1083.99
164134,1448.45
165358,1564.67
166581,1660.28
167804,1656.05
169027,1690.99
170251,1696.63
171478,1702.10
172700,1686.78
173924,1737.93
175147,1472.34
176370,1214.81
177593,1454.72
178817,1218.30
180039,319.62
181263,210.83
182486,166.52
183709,195.99
184932,196.02
186155,200.91
187378,230.46
188601,245.21
189825,265.01
191047,279.83
192271,265.00
193494,250.14
194716,294.62
195940,274.79
197163,405.70
198386,324.61
199609,240.35
200833,230.43
202055,245.23
203279,235.35
204502,215.68
205725,230.44
206948,215.68
208171,230.44
209394,225.51
210617,235.36
211841,225.51
213066,220.59
214290,230.44
215513,225.52
216735,230.43
217959,240.28
219182,294.63
220405,279.83
221628,269.93
222852,235.35
224074,205.83
225298,200.91
226521,215.71
227743,473.13
228967,483.10
230190,503.03
231413,508.09
232636,517.91
233860,502.92
235082,552.74
236306,552.85
237529,488.08
238751,478.10
239975,483.20
241198,517.98
242421,508.04
243644,548.06
244868,587.76
246090,622.83
247314,517.98
248537,507.92
249760,508.01
250983,552.87
252207,527.89
253429,562.76
254655,552.78
255879,513.01
257101,597.66
258325,507.96
259548,498.03
260771,542.79
261994,582.72
263218,592.63
264440,617.88
265663,547.87
266887,537.77
268109,532.85
269333,508.00
270556,537.85
271779,537.87
273002,542.67
274226,582.62
275448,577.78
276671,678.15
277895,592.77
279117,567.84
280341,572.78
281564,592.74
282787,557.86
284010,523.07
285234,607.63
286456,637.75
287680,597.76
288903,572.74
290125,637.73
291349,612.92
292572,577.80
293795,577.80
295018,572.88
296245,583.05
297467,552.94
298691,552.87
299914,602.76
301136,592.74
302360,547.97
303583,572.77
304806,557.91
306029,617.76
307253,562.91
308475,567.86
309699,513.02
310922,507.92
312145,513.09
313368,527.75
314591,547.88
315814,577.88
317037,562.78
318261,528.14
319483,532.86
320707,572.89
321930,532.96
323153,537.85
324376,552.84
325600,608.25
326822,617.81
328045,557.82
329269,567.81
330491,547.88
331715,547.88
332938,562.88
334161,572.78
335384,582.85
336607,567.92
337833,573.12
339056,557.86
340280,602.85
341502,557.88
342726,622.75
343949,567.93
345172,552.93
346395,572.99
347619,567.93
348841,538.06
350064,572.97
351288,478.89
352510,369.18
353734,492.89
354957,557.94
356180,602.66
357403,633.03
358627,632.74
359849,662.86
361073,597.94
362296,587.90
363518,642.59
364742,643.00
365965,672.77
367188,687.99
368411,677.91
369635,677.82
370857,657.88
372081,668.07
373304,533.47
374526,453.23
375750,383.96
376973,523.06
378196,428.61
379422,503.40
380646,418.52
381869,547.68
383091,483.93
384315,260.51
385538,265.06
386761,463.77
387984,344.23
389208,363.83
390430,522.94
391654,393.82
392877,388.77
394100,719.22
395323,493.38
396546,592.49
397769,662.77
398992,727.89
400216,738.07
401438,732.97
402662,793.32
403885,793.41
405108,793.43
406400,1322.96
407622,899.60
408846,853.97
410068,828.79
411292,813.64
412515,808.76
413739,783.41
414961,843.83
416185,803.74
417408,808.57
418631,778.40
419854,778.42
421076,808.99
422298,803.50
423521,783.49
424744,813.48
425967,788.46
427190,828.88
428413,798.59
429636,834.15
430860,798.69
432082,818.59
433306,793.45
434529,828.66
435752,874.67
436975,818.72
438199,874.13
439421,803.66
440644,833.69
441868,808.57
443090,818.59
444314,803.58
445537,848.93
446760,838.95
447983,803.60
449207,808.57
450429,813.60
451653,828.82
452876,848.79
454098,839.22
455322,828.70
456545,838.85
457768,823.76
458991,874.09
460215,838.81
461437,884.27
462661,838.81
463887,884.95
465111,848.85
466333,859.28
467557,874.14
468780,874.21
470003,904.45
471226,853.98
472449,904.30
473672,869.22
474895,894.40
476119,879.22
477341,909.50
478565,874.18
479788,899.38
481011,869.16
482234,899.38
483458,884.06
484680,899.52
485903,914.54
487127,874.24
488349,894.34
489573,889.22
490796,909.54
492019,894.29
493242,924.66
494466,889.22
495688,934.80
496912,909.52
498135,884.35
499358,904.65
500581,889.27
501805,924.88
503027,939.90
504250,904.39
505477,939.92
506699,889.28
507923,929.81
509146,924.64
510369,919.63
511592,924.68
512816,884.27
514038,909.53
515262,884.22
516485,919.63
517707,884.13
518931,894.70
520154,924.76
521377,919.47
522600,904.43
523824,939.77
525046,929.71
526270,924.67
527493,924.55
528716,904.44
529939,924.64
531163,944.87
532385,934.62
533608,914.58
534832,934.87
536054,919.60
537278,934.62
538501,914.53
539724,949.79
540947,914.49
542171,950.21
543393,945.16
544617,919.57
545840,950.02
547065,1005.77
548289,980.37
549513,950.11
550735,924.60
551958,934.75
553182,970.11
554404,955.06
555628,964.94
556851,939.88
558074,955.09
559297,975.22
560521,985.68
561743,955.09
562967,944.75
564190,970.32
565412,980.25
566636,960.22
567859,975.08
569082,960.11
570305,975.42
571529,944.81
572751,939.81
573975,975.23
575198,985.34
576421,965.53
577644,990.36
578868,960.09
580090,1000.76
581314,960.00
582537,980.33
583759,985.40
584983,960.03
586206,939.85
587429,944.95
588655,949.98
589879,980.39
591101,954.88
592325,955.07
593548,975.21
594771,949.88
