Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
4234,20272.17,10275.01,8332.27,20272.17,10275.01,8332.27
7873,9000.78,8741.11,6425.20,9000.78,9968.23,7950.85
11512,8977.37,8652.16,5810.65,8996.10,9705.02,5810.65
15152,8985.07,8604.46,5268.88,8993.89,9484.90,5702.30
4234,20563.02,10084.17,6813.68,20563.02,10084.17,6813.68
4234,20938.36,9553.40,245.44,20938.36,9553.40,245.44
7873,8892.61,8629.58,1451.84,8892.61,9368.63,486.72
11515,8936.61,8551.07,2260.30,8901.41,9205.12,841.43
15155,8879.66,8558.50,2815.41,8897.06,9075.80,1236.23
18794,8901.68,8577.69,3204.69,8897.98,8976.18,1629.92
22433,8958.79,8578.10,3404.55,8910.14,8896.56,1984.85
26073,8958.45,8564.64,3662.06,8919.80,8830.18,2320.29
29712,8961.70,8558.63,3724.26,8928.18,8775.87,2601.08
33351,8958.16,8603.27,3836.97,8934.18,8741.35,2848.26
36990,8933.09,8570.70,3939.16,8933.96,8707.22,3066.44
40630,8935.03,8554.56,3956.34,8934.18,8676.69,3244.42
44269,8940.20,8547.61,4024.85,8935.38,8650.87,3400.51
47911,8903.52,8542.81,4064.81,8929.01,8629.26,3533.37
51551,8908.48,8508.13,4070.10,8924.90,8605.03,3640.71
55190,8930.57,8526.27,4115.78,8926.04,8589.28,3735.73
58829,8925.84,8529.24,4127.29,8926.00,8577.27,3814.04
62469,8917.00,8557.04,4167.38,8924.20,8573.23,3884.71
66108,8943.49,8581.88,4201.89,8928.06,8574.96,3948.14
69747,8943.18,8549.52,4218.92,8931.08,8569.87,4002.30
73387,9002.87,8550.43,4212.81,8945.44,8565.98,4044.40
77026,8951.70,8525.89,4230.80,8946.69,8557.96,4081.68
80668,8943.49,8586.20,4230.33,8946.05,8563.61,4111.41
84307,8972.92,8598.41,4236.07,8951.42,8570.57,4136.34
87947,8945.02,8581.60,4253.24,8950.14,8572.78,4159.72
91586,8947.49,8579.64,4270.60,8949.61,8574.15,4181.90
95225,8976.96,8581.07,4288.31,8955.08,8575.53,4203.18
98865,8996.26,8573.44,4299.31,8963.32,8575.12,4222.40
102504,8993.99,8583.74,4287.73,8969.45,8576.84,4235.47
106143,9006.15,8569.12,4287.42,8976.79,8575.30,4245.86
109783,9008.46,8592.42,4327.92,8983.13,8578.72,4262.27
113425,9020.68,8554.05,4316.69,8990.64,8573.79,4273.16
117064,8994.18,8542.20,4333.92,8991.35,8567.47,4285.31
120704,9014.88,8602.76,4356.79,8996.05,8574.53,4299.61
124343,8987.45,8615.38,4351.43,8994.33,8582.70,4309.97
127982,9030.44,8614.94,4357.60,9001.55,8589.15,4319.50
131621,9008.45,8557.16,4350.98,9002.93,8582.75,4325.79
36772,20772.91,10647.91,4910.13,20772.91,10647.91,4910.13
72951,9571.70,9621.64,1565.05,9571.70,10442.66,1565.05
109130,9525.09,9603.83,2640.53,9562.37,10274.89,1780.15
36771,824749.37,2879.58,6719.98,824749.37,2879.58,6719.98
72950,825207.06,4314.79,665.11,824840.93,3166.62,665.11
109128,824996.00,4571.43,2051.45,824871.93,3447.58,942.38
145306,825292.75,4665.60,2696.04,824956.12,3691.19,1293.11
36772,825283.25,3379.31,5254.73,825283.25,3379.31,5254.73
36799,825075.25,3294.11,6228.03,825075.25,3294.11,6228.03
72977,825087.68,4571.81,916.51,825077.75,3549.65,916.51
24720,825167.93,0.00,3519.45,825167.93,0.00,3519.45
48846,825932.18,0.00,720.06,825320.81,0.00,720.06
12669,825260.31,0.00,2224.15,825260.31,0.00,2224.15
24744,825852.00,0.00,570.62,825378.62,0.00,1893.45
36819,826014.37,0.00,1705.13,825505.81,0.00,1855.78
48893,825850.50,0.00,2279.47,825574.81,0.00,1940.52
60968,825519.81,0.00,2554.15,825563.87,0.00,2063.25
73043,825266.06,0.00,2710.49,825504.37,0.00,2192.69
85118,825422.62,0.00,2818.86,825488.00,0.00,2317.93
97193,825598.62,0.00,2876.51,825510.18,0.00,2429.64
109268,825844.50,0.00,2929.13,825577.12,0.00,2529.54
121344,823484.62,0.00,2958.25,823484.62,0.00,2615.28
133422,825021.68,0.00,2997.22,823792.00,0.00,2691.67
145496,825252.37,0.00,3022.49,824084.12,0.00,2757.83
157571,824915.75,0.00,3034.48,824250.50,0.00,2813.16
169646,824587.81,0.00,3053.54,824318.00,0.00,2861.24
181721,825424.25,0.00,3068.52,824539.31,0.00,2902.69
193796,824422.50,0.00,3087.96,824515.93,0.00,2939.75
205871,824659.18,0.00,3093.45,824544.62,0.00,2970.49
217946,824850.25,0.00,3100.42,824605.75,0.00,2996.48
230021,825506.06,0.00,3108.83,824785.87,0.00,3018.95
12701,824675.68,0.00,1376.03,824675.68,0.00,1376.03
24775,825504.50,0.00,1396.23,824841.50,0.00,1380.07
36850,825188.56,0.00,2393.77,824910.87,0.00,1582.81
48925,825674.25,0.00,2775.55,825063.56,0.00,1821.35
61000,825767.12,0.00,2921.22,825204.31,0.00,2041.33
73075,825508.93,0.00,3007.43,825265.25,0.00,2234.55
18696,825608.93,100885536.00,475620.25,825608.93,100885536.00,475620.25
36798,824924.50,101111960.00,475654.31,825472.12,101111960.00,475627.09
54901,825346.50,101281784.00,475685.56,825447.00,101281784.00,475638.81
73007,825895.12,434.30,475131.25,825536.62,434.30,475537.31
91109,825140.75,411.74,475974.46,825457.50,429.79,475624.75
109210,824928.81,406.80,475749.68,825351.75,425.19,475649.75
