Date_Heure;W1_raw;W1_f;W2_raw;W2_f;W3_raw;W3_f;W4_raw;W4_f
2026-06-05 16:22:22;846.00;1015.00;1023.00;1023.00;1023.00;1023.00;1003.00;1023.00
2026-06-05 16:42:22;997.00;1015.13;1019.00;1015.00;1009.00;1013.18;983.00;1016.85
2026-06-05 17:02:22;997.00;1013.30;1023.00;1013.10;1023.00;1014.37;1023.00;1017.15
2026-06-05 17:22:23;1012.00;1013.12;1006.00;1015.96;1023.00;1014.86;1023.00;1017.78
2026-06-05 17:42:23;1001.00;1015.79;1002.00;1016.28;1010.00;1014.62;1023.00;1016.41
2026-06-05 18:02:23;1018.00;1015.57;1023.00;1017.44;1007.00;1016.91;1021.00;1014.39
2026-06-05 18:22:23;1009.00;1016.83;1023.00;1016.71;1023.00;1015.21;1022.00;1015.88
2026-06-05 18:42:24;1023.00;1014.74;1013.00;1015.53;1018.00;1015.71;1002.00;1017.07
2026-06-05 19:02:24;990.00;1018.49;1023.00;1017.60;1023.00;1019.83;995.00;1018.72
2026-06-05 19:22:24;1023.00;1017.07;1023.00;1018.54;1017.00;1015.75;1020.00;1016.60
2026-06-05 19:42:24;1018.00;1017.73;1006.00;1015.44;1023.00;1015.52;1015.00;1013.90
2026-06-05 20:02:25;1023.00;1017.28;1023.00;1016.60;1023.00;1015.17;994.00;1015.22
2026-06-05 20:22:25;1011.00;1014.28;1015.00;1017.45;1023.00;1015.97;1014.00;1015.73
2026-06-05 20:42:25;1016.00;1015.03;1023.00;1015.12;1023.00;1017.08;1008.00;1016.62
2026-06-05 21:02:25;1002.00;1015.38;1023.00;1014.73;1023.00;1014.73;1008.00;1015.74
2026-06-05 21:22:25;1023.00;1016.37;1017.00;1017.04;1017.00;1013.44;1023.00;1017.34
2026-06-05 21:42:25;997.00;1014.05;1023.00;1016.20;1022.00;1016.04;1023.00;1016.68
2026-06-05 22:02:25;1023.00;1017.37;1009.00;1016.24;993.00;1016.98;1023.00;1017.30
2026-06-05 22:22:25;1023.00;1018.65;1014.00;1018.40;1023.00;1016.84;1023.00;1017.50
2026-06-05 22:42:25;996.00;1013.55;1010.00;1017.70;1023.00;1014.94;1023.00;1016.44
2026-06-05 23:02:26;988.00;1018.14;1006.00;1018.58;1023.00;1017.72;1018.00;1017.72
2026-06-05 23:22:26;1014.00;1014.13;1021.00;1016.81;1020.00;1016.45;1023.00;1018.15
2026-06-05 23:42:26;991.00;1015.17;1023.00;1017.32;1023.00;1014.50;1021.00;1013.41
2026-06-06 00:02:26;1023.00;1018.68;1023.00;1018.03;1019.00;1014.26;1022.00;1016.25
2026-06-06 00:22:27;1003.00;1018.29;1010.00;1018.66;1023.00;1018.33;1023.00;1017.54
2026-06-06 00:42:27;1023.00;1014.81;1006.00;1015.07;1007.00;1016.39;1023.00;1017.89
2026-06-06 01:02:27;999.00;1016.72;1016.00;1018.90;1023.00;1014.54;1023.00;1016.73
2026-06-06 01:22:27;988.00;1016.01;999.00;1016.24;1023.00;1014.76;1001.00;1015.96
2026-06-06 01:42:28;1023.00;1017.96;1023.00;1016.55;1023.00;1014.23;1023.00;1014.47
2026-06-06 02:02:28;1023.00;1015.70;1023.00;1016.79;1013.00;1013.00;1023.00;1014.46
2026-06-06 02:22:28;1023.00;1018.86;1018.00;1017.59;1023.00;1012.23;1023.00;1016.39
2026-06-06 02:42:28;1023.00;1016.42;1007.00;1016.55;1023.00;1013.41;1015.00;1013.51
2026-06-06 03:02:28;1023.00;1016.34;1017.00;1015.89;1023.00;1014.70;1008.00;1014.82
2026-06-06 03:22:28;998.00;1015.79;1018.00;1017.99;1015.00;1016.45;1023.00;1018.63
2026-06-06 03:42:28;1004.00;1016.06;1023.00;1016.71;1013.00;1015.18;1023.00;1014.87
2026-06-06 04:02:29;1023.00;1018.31;1023.00;1015.65;1023.00;1013.37;1003.00;1016.37
2026-06-06 04:22:29;1023.00;1017.27;1012.00;1017.38;1023.00;1014.44;1023.00;1015.20
2026-06-06 04:42:29;1023.00;1014.21;1020.00;1017.84;1018.00;1018.67;1021.00;1016.17
2026-06-06 05:02:29;1011.00;1016.99;1023.00;1016.73;1006.00;1016.60;1014.00;1014.21
2026-06-06 05:22:29;1006.00;1016.04;1023.00;1014.63;1023.00;1017.08;1018.00;1016.91
2026-06-06 05:42:29;1023.00;1015.52;1023.00;1018.55;1023.00;1016.01;1023.00;1016.34
2026-06-06 06:02:30;1009.00;1016.45;1008.00;1016.32;1016.00;1016.19;1023.00;1016.46
2026-06-06 06:22:30;998.00;1017.49;1011.00;1015.46;1023.00;1015.40;1023.00;1015.41
2026-06-06 06:42:30;1023.00;1017.77;1010.00;1016.39;1023.00;1014.92;1023.00;1018.19
2026-06-06 07:02:30;1023.00;1014.66;1023.00;1015.05;1019.00;1013.38;1009.00;1016.15
2026-06-06 07:22:30;1023.00;1016.88;1023.00;1017.14;1023.00;1017.18;1023.00;1014.16
2026-06-06 07:42:31;1022.00;1017.30;1009.00;1015.02;1021.00;1012.06;999.00;1016.96
2026-06-06 08:02:31;1010.00;1015.99;1023.00;1019.44;1010.00;1015.12;1023.00;1016.26
2026-06-06 08:22:31;1023.00;1016.63;1023.00;1016.39;1013.00;1017.13;1023.00;1017.05
