Date_Heure;W1_raw;W1_f;W2_raw;W2_f;W3_raw;W3_f;W4_raw;W4_f
2026-06-08 08:25:21;1020.00;1018.51;1023.00;1021.44;1016.00;1021.32;1001.00;1019.27
2026-06-08 08:29:48;1023.00;1019.94;1023.00;1019.34;1018.00;1018.38;1012.00;1020.71
2026-06-08 08:49:48;1017.00;1017.20;1021.00;1010.02;1023.00;1014.37;1002.00;1015.39
2026-06-08 09:09:48;1018.00;1010.78;1021.00;1014.46;1019.00;1014.70;1010.00;1014.16
2026-06-08 09:29:48;1023.00;1014.76;995.00;1012.84;1001.00;1014.86;1023.00;1012.98
2026-06-08 09:49:54;1013.26;1008.95;1016.00;1010.61;1014.29;1011.20;1013.71;1010.86
2026-06-08 10:04:12;1004.00;1011.38;1012.00;1011.26;1009.00;1011.28;1010.00;1008.95
2026-06-08 10:09:17;1006.00;1009.16;1003.00;1009.91;1008.00;1009.34;1005.00;1008.49
2026-06-08 10:14:23;1006.00;1010.28;1005.00;1010.43;1013.00;1010.17;1009.00;1010.41
2026-06-08 10:19:28;1004.00;1009.99;1010.00;1010.52;1010.00;1010.32;1005.00;1010.71
2026-06-08 10:24:33;1013.00;1010.59;1011.00;1010.97;1009.00;1010.04;1008.00;1010.85
2026-06-08 10:29:38;1008.00;1009.50;1009.00;1009.95;1011.00;1009.35;1007.00;1010.10
2026-06-08 10:34:44;1013.00;1010.21;1011.00;1011.20;1007.00;1010.58;1011.00;1010.87
2026-06-08 10:39:48;1013.00;1008.92;1013.00;1010.00;1012.00;1009.71;1015.00;1011.54
2026-06-08 10:44:53;1009.00;1008.97;1010.00;1009.76;1007.00;1009.41;1010.00;1010.98
2026-06-08 10:49:58;1011.00;1009.83;1007.00;1010.46;1011.00;1010.47;1012.00;1011.21
2026-06-08 10:55:03;1014.00;1009.54;1012.00;1010.21;1014.00;1009.65;1012.00;1010.51
2026-06-08 11:00:08;1011.00;1009.36;1011.00;1010.14;1009.00;1009.39;1008.00;1010.39
2026-06-08 11:05:14;1000.00;1007.11;1004.00;1007.85;1002.00;1007.13;1003.00;1007.87
2026-06-08 11:10:19;1006.00;1006.19;1008.00;1006.97;1009.00;1006.35;1003.00;1006.92
2026-06-08 11:15:24;1002.00;1006.57;1008.00;1007.57;1006.00;1006.54;1003.00;1007.07
2026-06-08 11:20:30;1008.00;1007.25;1011.00;1007.82;1007.00;1006.73;1005.00;1006.84
2026-06-08 11:25:35;1001.00;1006.73;1009.00;1007.52;1004.00;1006.56;1005.00;1006.78
2026-06-08 11:30:41;1009.00;1006.84;1008.00;1007.97;1004.00;1006.33;1003.00;1006.70
2026-06-08 11:35:46;1008.00;1007.13;1004.00;1007.39;1007.00;1006.38;1005.00;1006.98
2026-06-08 11:40:51;1009.00;1007.38;1005.00;1007.48;1001.00;1006.23;1006.00;1006.94
2026-06-08 11:45:57;1010.00;1006.89;1002.00;1007.52;1004.00;1006.36;1005.00;1006.70
2026-06-08 11:51:02;1007.00;1007.17;1010.00;1007.84;1003.00;1006.62;1004.00;1006.71
2026-06-08 11:56:07;1012.00;1007.29;1013.00;1007.89;1004.00;1006.84;1006.00;1006.87
2026-06-08 12:01:13;998.00;1007.27;1003.00;1008.07;1007.00;1007.06;1011.00;1007.35
2026-06-08 12:06:18;1008.00;1006.97;1001.00;1008.12;1009.00;1007.23;1013.00;1007.50
2026-06-08 12:11:24;1015.00;1007.33;1018.00;1008.52;1004.00;1007.19;1006.00;1007.47
2026-06-08 12:16:29;1008.00;1007.48;1008.00;1007.71;1004.00;1007.22;1009.00;1007.04
2026-06-08 12:21:34;1006.00;1008.02;1013.00;1008.26;1009.00;1007.69;1008.00;1007.43
2026-06-08 12:26:40;1001.00;1007.57;1006.00;1008.68;1012.00;1007.82;1008.00;1007.58
2026-06-08 12:31:45;1017.00;1007.59;1005.00;1008.00;1005.00;1007.37;1009.00;1007.68
2026-06-08 12:36:51;1013.00;1007.89;1002.00;1007.82;1009.00;1006.92;1011.00;1007.89
2026-06-08 12:41:56;1008.00;1007.61;1002.00;1007.99;1000.00;1007.17;1009.00;1007.73
2026-06-08 12:47:01;1012.00;1007.57;1015.00;1008.24;1003.00;1007.05;1001.00;1007.49
2026-06-08 12:52:07;1002.00;1007.63;1012.00;1008.29;1003.00;1006.95;1002.00;1007.55
2026-06-08 12:57:12;1009.00;1007.29;1006.00;1007.97;1011.00;1007.00;1002.00;1007.51
2026-06-08 13:02:18;1010.00;1007.42;1009.00;1007.56;1005.00;1007.14;1007.00;1007.42
2026-06-08 13:07:23;1006.00;1007.24;1010.00;1007.67;1011.00;1007.33;1005.00;1007.74
2026-06-08 13:12:28;1007.00;1007.14;1005.00;1007.65;1008.00;1007.35;1009.00;1007.62
2026-06-08 13:17:34;1002.00;1006.70;1007.00;1007.35;1005.00;1007.01;1010.00;1007.93
2026-06-08 13:22:39;1005.00;1007.05;1007.00;1007.44;1005.00;1006.44;1004.00;1007.43
2026-06-08 13:27:44;1002.00;1006.73;1006.00;1007.44;1010.00;1005.97;999.00;1006.85
