temps_ms,valeur
1507,829269.87
1471,97085056.00
2695,102200048.00
3918,102200048.00
5142,97085040.00
6366,91970032.00
7589,84297536.00
8812,97085056.00
10036,102200048.00
11259,99642544.00
1473,87423376.00
2696,65762088.00
3919,73442352.00
5143,83814456.00
6367,70479296.00
7590,90691304.00
8813,65577384.00
10037,85064792.00
11260,78800328.00
12484,75405336.00
13708,85235288.00
14930,56621580.00
16154,78890240.00
17378,79061128.00
18601,72088720.00
19825,89681752.00
21048,59818636.00
22275,90350304.00
23498,68014800.00
24722,84723792.00
25946,69370344.00
27168,72813120.00
28392,97815760.00
29616,69157736.00
30839,83920016.00
32062,81017472.00
33286,66667188.00
34509,99642560.00
35733,74319408.00
36957,84321904.00
38179,85448400.00
39403,59709336.00
40627,83962624.00
41850,78770488.00
43073,63514816.00
44297,80631784.00
45520,69683600.00
46744,61602932.00
47968,90569512.00
49190,66736052.00
50414,80217728.00
51638,81319744.00
52861,60496576.00
54084,86741376.00
55311,60941132.00
56535,88986304.00
57758,74414656.00
58982,71999064.00
60205,83483792.00
61428,65390312.00
62652,87281296.00
63876,74763728.00
65099,70572280.00
66322,82805672.00
67546,58942104.00
68769,27484140.00
69993,54713.23
71216,17330.84
72439,8313.43
73662,5296.89
74886,3841.39
76108,2907.59
77332,2387.66
78555,1993.23
79778,1593.56
81001,1492.63
82225,1245.21
83447,1201.27
84671,1153.06
85894,1076.76
87117,990.32
88340,878.76
89563,853.84
90786,955.00
92009,946.47
93236,895.52
94458,733.26
95682,773.75
96905,854.54
98127,860.60
99351,834.93
100574,784.37
101797,753.81
103020,774.15
104244,859.79
105466,870.10
106690,844.35
107913,743.42
109136,823.87
110359,884.84
111583,930.79
112805,914.89
114029,883.46
115252,843.69
116474,884.73
117698,915.70
118921,859.89
120144,808.57
121367,763.39
122591,794.42
123813,900.34
125037,820.02
126260,823.90
127483,793.71
128706,804.06
129930,890.12
131152,839.80
132375,794.04
133599,748.60
134821,758.88
136048,850.10
137271,784.23
138494,783.64
139717,773.79
140941,794.14
142163,824.41
143387,819.37
144610,803.88
145833,783.64
147056,799.04
148280,824.16
149502,848.93
150725,818.62
151949,833.54
153171,818.78
154395,828.96
155618,819.12
156841,834.02
158064,823.84
159288,833.62
160510,803.90
161734,823.97
162957,814.12
164180,843.71
165403,813.58
166627,823.59
167849,834.05
169072,844.07
170296,843.97
171518,828.76
172742,823.67
173965,839.03
175188,843.90
176411,839.05
177638,879.42
178861,828.58
180084,813.94
181307,818.98
182531,819.19
183753,834.02
184977,823.62
186200,808.53
187422,798.73
188646,828.89
189869,829.04
191092,818.69
192315,818.54
193539,813.45
194761,798.69
195985,818.76
197208,833.75
198431,808.52
199654,818.50
200878,798.87
202100,818.55
203324,828.87
204547,848.83
205769,823.53
206993,818.34
208216,818.48
209439,829.46
210662,833.94
211886,823.40
213108,823.19
214332,823.16
215601,1547.38
216824,941.33
218047,889.46
219274,880.01
220496,859.25
221720,864.09
222943,828.73
224166,833.04
225389,797.98
226613,848.87
227835,848.84
229059,853.79
230282,853.32
231505,833.11
232728,838.32
233952,828.07
235174,843.56
236398,883.12
237621,848.24
238844,843.19
240067,848.44
241291,858.55
242513,858.64
243737,848.23
244960,848.12
246183,853.12
247406,853.18
248630,863.38
249852,868.40
251076,873.16
252300,862.90
253522,847.76
254746,853.20
255969,868.30
257192,878.46
258415,858.15
259639,872.77
260865,904.03
262088,878.29
263311,878.46
264535,893.24
265757,857.61
266981,877.79
268204,882.86
269427,863.32
270650,878.40
271874,913.06
273096,872.80
274320,887.78
275543,878.13
276766,888.08
277989,923.04
279213,887.75
280435,892.67
281659,902.82
282883,908.35
284105,903.22
285329,917.81
286552,892.58
287775,902.73
288998,908.07
290222,913.18
291444,892.92
292668,933.44
293891,897.67
295114,908.25
296337,928.20
297561,908.11
298783,912.73
300007,902.87
301230,887.66
302456,934.43
303679,913.07
304903,912.85
306125,897.51
307349,913.07
308572,898.16
309795,908.07
311018,913.13
312242,897.78
313465,882.72
314688,907.82
315912,908.05
317134,893.04
318358,912.76
319581,897.43
320804,897.56
322027,882.76
323251,903.01
324473,912.85
325697,922.65
326920,892.34
328143,892.52
329366,892.74
330590,897.85
331812,902.89
333036,917.77
334259,912.20
335482,887.40
336705,907.58
337929,918.08
339151,907.95
340375,898.02
341598,897.28
342821,902.40
344047,948.90
345271,918.00
346493,917.76
347717,912.58
348940,907.37
350163,887.64
351387,902.86
352610,913.24
353833,922.61
355056,907.33
356280,897.36
357502,907.51
358726,922.66
359949,907.49
361172,927.66
362395,922.10
363619,902.79
364841,912.45
366065,907.78
367288,917.80
368512,917.60
369735,917.55
370958,907.32
372182,902.32
373404,907.70
374628,927.70
375851,927.69
377074,917.47
378297,902.24
379521,902.32
380743,917.72
381967,922.74
383190,932.60
384413,917.33
385636,902.40
386863,959.06
388085,922.79
389309,937.91
390532,912.55
391755,907.48
392978,907.32
394202,932.66
395424,932.69
396648,912.62
397872,932.33
399094,912.27
400318,907.39
401541,952.66
402764,927.69
403987,932.56
405211,932.18
406433,932.05
407657,932.50
408880,942.71
410103,927.85
411326,952.68
412550,947.09
413772,922.12
414996,937.63
416219,947.45
417442,942.61
418665,947.40
419889,952.14
421111,936.92
422335,917.12
423558,937.73
424781,948.04
426005,947.61
427228,947.23
428454,978.54
429677,927.02
430901,942.69
432123,932.51
433347,927.12
434570,936.88
435793,931.97
437016,942.49
438240,947.71
439462,937.55
440686,952.25
441909,937.01
443132,927.13
444355,932.32
445579,932.64
446802,947.11
448025,962.23
449249,927.11
450471,946.97
451695,942.41
452918,942.54
454141,932.54
455364,942.23
456588,942.11
457810,926.79
459034,942.04
460257,957.10
461480,942.63
462703,937.49
463927,952.07
465149,927.26
466373,941.86
467597,912.76
468819,932.44
470046,983.47
471269,957.16
472493,967.20
473715,927.26
474939,952.65
476162,952.48
477385,957.25
478608,952.10
479832,951.94
481054,962.20
482278,952.56
483501,952.50
484724,977.37
485947,936.62
487171,936.96
488394,946.97
489617,957.21
490841,957.46
492063,947.65
493287,962.18
494510,952.18
495733,942.05
496956,952.14
498180,967.03
499402,947.54
500626,947.46
501849,947.32
503072,947.14
504295,937.13
505519,941.98
506742,947.12
507965,957.41
509189,962.46
510411,977.45
511638,983.33
512861,946.96
514084,937.42
515307,957.38
516531,972.57
517753,972.28
518977,962.14
520200,961.99
521423,947.01
522647,977.39
523870,967.68
525093,962.66
526316,972.09
527540,967.37
528762,951.92
529986,952.12
531209,962.11
532432,967.94
533655,972.06
534879,967.13
536101,962.03
537325,967.27
538548,952.27
539771,952.59
540994,962.43
542218,962.31
543441,942.17
544664,961.93
545888,967.05
547110,967.24
548334,977.37
549557,957.40
550780,967.13
552003,952.27
553230,983.43
554452,962.46
555676,982.38
556899,957.31
558123,957.10
559345,967.03
560569,946.97
561792,957.15
563015,972.33
564238,992.06
565462,952.26
566684,956.88
567908,941.97
569132,957.22
570354,972.50
571578,982.13
572801,977.45
574024,957.01
575247,971.79
576471,962.15
577693,966.93
578917,987.48
580140,972.32
581363,967.13
582586,956.99
583810,986.96
585032,967.09
586256,987.26
587480,992.08
588702,967.16
589926,967.01
591149,971.90
592372,987.06
593595,967.13
594822,988.50
596044,972.72
597268,957.31
598491,981.94
599714,977.06
600937,977.15
602161,992.43
603383,957.39
604607,977.13
605830,981.88
607053,962.09
608276,972.13
609500,972.42
610722,977.15
611946,972.12
613170,976.87
614392,952.12
615616,967.01
616839,967.24
618062,982.17
619285,962.15
620509,977.34
621731,971.85
622955,966.93
624178,962.19
625401,957.37
626624,982.43
627848,987.26
629070,987.06
630294,971.86
631517,976.91
632740,977.07
633963,977.33
635187,1001.99
636413,1023.48
637636,972.05
638860,981.97
640082,972.15
641306,962.47
642529,992.40
643752,972.12
644975,977.01
646199,991.80
647421,967.01
648645,977.15
649868,972.22
651091,977.11
652314,987.09
653538,966.87
654760,971.90
655984,972.01
657207,1002.01
658430,976.91
659654,972.12
660877,976.83
662100,976.98
663323,957.21
664612,1895.04
665836,1096.75
667059,1028.77
668282,1002.84
669506,992.79
670729,987.68
671952,1007.65
673175,992.50
674399,986.98
675621,962.13
676845,987.23
678071,1023.88
679294,1012.48
680518,967.03
681741,986.93
682964,977.21
684187,982.21
685411,992.54
686633,957.20
687857,976.96
689080,976.89
690304,982.02
691526,962.28
692750,987.39
693972,977.18
695196,977.14
696419,986.79
697643,986.92
698865,977.09
700089,982.26
701312,987.31
702535,972.12
703803,1567.99
705027,1050.03
706249,1018.61
707473,1008.11
708697,997.50
709919,982.09
711143,967.16
712366,987.19
713589,982.34
714812,987.66
716036,992.12
717258,987.08
718482,981.78
719708,1003.64
720931,997.56
722154,1002.55
723378,987.24
724601,981.96
725824,962.16
727048,971.77
728270,977.49
729494,992.15
730717,987.05
731940,976.87
733163,967.07
734387,957.19
735609,982.46
736833,977.30
738056,982.46
739279,981.69
740502,962.10
741771,1609.94
742994,1065.11
744218,1008.03
745441,1002.54
746664,992.57
747887,997.97
749111,992.65
750333,992.25
751557,976.85
752780,972.04
754003,971.97
755226,967.68
756450,992.27
757672,987.41
758896,981.80
760122,1003.48
761346,982.58
762569,992.22
763792,982.14
765016,976.89
766238,976.96
767462,997.11
768685,972.50
769908,992.15
771131,971.83
772355,982.12
773577,997.29
774801,992.43
776024,972.09
777247,967.03
778470,967.03
779694,977.10
780963,1600.09
782187,1050.02
783411,1003.57
784633,988.10
785857,992.75
787080,997.47
788303,992.10
789526,992.02
790750,992.22
791972,987.30
793196,997.53
794419,977.18
795642,987.18
796865,956.78
798089,982.17
799311,977.13
800535,1002.49
801762,1003.08
802984,972.01
804208,977.11
805431,992.39
806654,1007.47
807877,982.15
809101,981.76
810323,956.99
811547,976.92
812770,987.52
813993,982.30
815216,967.17
816440,971.83
817664,976.89
818934,1621.18
820157,1050.21
821381,1017.97
822603,1002.55
823827,987.72
825051,992.79
826273,992.62
827497,997.53
828720,972.09
829943,977.06
831166,972.22
832390,982.52
833612,992.51
834836,977.14
836059,971.91
837282,967.11
838505,962.07
839729,992.51
840951,987.38
842175,981.95
843401,1008.08
844624,972.41
845847,982.36
847071,972.12
848293,957.04
849517,966.77
850741,967.11
851963,967.24
853187,977.40
854410,967.10
855633,966.31
856856,961.92
858124,1587.81
859347,1055.19
860570,1008.45
861794,992.66
863016,967.16
864240,987.06
865463,967.24
866686,982.46
867910,987.43
869133,957.18
870356,971.94
871579,967.11
872803,952.25
874025,982.29
875249,967.16
876472,967.07
877696,961.89
878918,967.26
880142,947.06
881364,951.74
882588,962.43
883811,972.10
885038,998.29
886260,987.04
887484,972.20
888707,967.49
889930,972.10
891153,947.21
892377,956.89
893600,962.02
894823,951.92
896091,1583.31
897314,1044.89
898537,993.07
899761,987.77
900983,967.65
902207,972.86
903430,992.58
904653,987.28
905876,942.04
907100,952.13
908322,967.24
909546,977.19
910769,982.44
911992,972.28
913215,962.07
914439,972.04
915661,957.10
916885,957.22
918108,967.38
919331,957.20
920554,957.13
921778,961.99
923000,947.14
924224,962.12
925447,957.29
926673,988.50
927897,952.10
929120,952.14
930343,962.19
931566,952.35
932790,972.36
934012,972.34
935280,1551.79
936504,1030.08
937726,1008.62
938950,958.26
940173,982.62
941396,982.01
942619,967.19
943843,957.50
945065,967.34
946289,962.21
947512,957.05
948736,957.13
949958,947.05
951182,967.32
952404,977.16
953628,957.10
954851,932.28
956075,952.14
957297,957.33
958521,962.39
959745,962.04
960967,947.01
962191,932.10
963414,957.17
964637,952.36
965860,962.24
967084,967.08
968309,958.22
969533,952.18
970756,942.59
971979,947.63
973247,1546.64
974471,1024.98
975693,978.01
976917,983.16
978140,972.95
979363,952.52
980586,977.21
981810,952.08
983032,932.20
984256,947.47
985479,952.44
986702,947.40
987925,957.06
989149,927.03
990371,942.08
991595,947.44
992818,947.39
994041,947.32
995264,951.96
996488,936.88
997710,917.22
998934,947.38
1000157,957.45
1001380,947.63
1002604,952.10
1003827,951.96
1005050,962.37
1006273,952.34
1007497,947.44
1008722,978.53
1009946,942.15
1011169,941.94
1012438,1573.54
1013660,1025.41
1014884,988.28
1016108,957.33
1017330,957.53
1018554,952.35
1019777,957.74
1021000,947.54
1022223,957.34
1023447,942.05
1024670,947.14
1025893,947.22
1027117,942.64
1028339,932.50
1029563,947.30
1030786,947.04
1032009,936.88
1033232,937.28
1034456,937.55
1035679,937.53
1036902,942.25
1038126,932.12
1039348,936.88
1040572,922.28
1041795,942.61
1043018,942.38
1044242,927.13
1045465,926.89
1046688,936.98
1047914,963.35
1049138,972.53
1050405,1542.12
1051629,1010.16
1052853,983.73
1054075,953.07
1055299,947.34
1056522,937.40
1057745,932.58
1058968,942.59
1060192,937.55
1061415,952.12
1062638,941.89
1063862,917.24
1065084,937.55
1066308,942.45
1067531,917.32
1068754,931.80
1069977,942.08
1071201,922.38
1072424,947.38
1073647,937.37
1074871,932.14
1076093,931.84
1077317,942.07
1078540,912.57
1079763,942.18
1080986,937.17
1082210,931.87
1083433,922.07
1084656,937.32
1085880,902.45
1087106,948.29
1088329,922.11
1089598,1579.17
1090822,1015.25
1092044,967.98
