Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
18761,4187.80,3279.64,475490.25,4187.80,3279.64,475490.25
96863,5692.76,5528.49,475271.00,4488.79,5528.49,475446.43
174964,5833.68,5674.78,475103.12,4757.77,5557.75,475377.78
18695,5257.39,4518.84,475779.00,5257.39,4518.84,475779.00
636795,9381.49,9045.16,475723.03,9381.49,9045.16,475767.81
1254897,9418.58,9222.91,476060.96,9388.91,9080.71,475826.43
1873000,9418.38,9266.56,475453.15,9394.80,9117.88,475751.78
2491104,9377.90,9285.56,476033.03,9391.42,9151.42,475808.06
3109204,9333.31,9307.40,475730.15,9379.80,9182.61,475792.50
3727305,9340.14,9316.83,475181.68,9371.87,9209.46,475670.34
4345408,9329.12,9330.70,475526.25,9363.32,9233.70,475641.53
4963509,9318.00,9326.50,475107.96,9354.25,9252.26,475534.81
5581609,9310.89,9327.78,475211.96,9345.58,9267.37,475470.25
6199711,9284.69,9313.84,475371.00,9333.40,9276.66,475450.43
6817813,9262.60,9282.03,475441.25,9319.24,9277.74,475448.59
7435918,9217.19,9273.42,475730.81,9298.83,9276.87,475505.03
8054019,9184.09,9273.69,475067.43,9275.88,9276.24,475417.53
8672119,9173.30,9277.65,474491.09,9255.37,9276.52,475232.25
9290222,9191.20,9276.25,474974.09,9242.54,9276.47,475180.62
9908324,9169.10,9295.66,475762.43,9227.85,9280.30,475297.00
10526424,9169.06,9310.56,474587.25,9216.09,9286.36,475155.06
11144525,9143.22,9299.66,475199.46,9201.52,9289.02,475163.96
11762627,9137.65,9309.14,475371.18,9188.74,9293.04,475205.43
12380728,9137.63,9315.96,475372.90,9178.52,9297.63,475238.93
12998832,9141.80,9323.14,475174.90,9171.18,9302.73,475226.12
13616932,9159.48,9328.52,474966.31,9168.84,9307.89,475174.18
14235035,9171.90,9329.71,475397.62,9169.45,9312.25,475218.87
14853136,9203.56,9332.56,475271.09,9176.27,9316.31,475229.31
15471238,9235.16,9328.37,475491.46,9188.05,9318.73,475281.75
16089338,9213.05,9329.82,475683.28,9193.05,9320.94,475362.06
16707440,9222.74,9329.81,475107.00,9198.99,9322.72,475311.06
17325542,9251.72,9335.29,474937.03,9209.54,9325.23,475236.25
17943646,9253.07,9340.68,475498.37,9218.24,9328.32,475288.68
18561746,9261.32,9346.11,475389.40,9226.86,9331.88,475308.84
19179847,9250.23,9340.67,475327.46,9231.53,9333.64,475312.59
19797950,9257.13,9340.63,474944.25,9236.65,9335.04,475238.93
20416051,9265.44,9343.38,475521.62,9242.41,9336.70,475295.50
21034151,9262.62,9351.63,475233.09,9246.45,9339.69,475283.03
21652252,9263.95,9361.24,475039.59,9249.95,9344.00,475234.37
22270355,9268.14,9376.56,474255.03,9253.59,9350.51,475038.50
22888459,9284.62,9380.71,475327.96,9259.80,9356.55,475096.40
23506560,9292.96,9391.71,475247.62,9266.43,9363.58,475126.65
24124660,9302.46,9402.93,475263.53,9273.63,9371.45,475154.06
24742763,9318.93,9415.35,475221.00,9282.69,9380.23,475167.43
25360864,9328.77,9427.66,475207.40,9291.91,9389.72,475175.43
25978964,9345.13,9454.04,474959.43,9302.55,9402.58,475132.25
26597065,9360.50,9455.39,475491.09,9314.14,9413.14,475204.03
27215168,9375.66,9472.14,475327.81,9326.45,9424.94,475228.78
27833273,9393.41,9492.87,475264.12,9339.84,9438.53,475235.87
28451374,9404.55,9503.98,475408.56,9352.78,9451.62,475270.43
29069474,9425.27,9526.15,475177.43,9367.28,9466.53,475251.84
29687576,9450.29,9534.46,475493.40,9383.88,9480.12,475300.15
30305678,9473.82,9555.30,475358.75,9401.87,9495.15,475311.87
30923779,9499.01,9579.06,475166.12,9421.30,9511.93,475282.71
31541880,9525.15,9594.33,475829.37,9442.07,9528.41,475392.06
32159983,9548.86,9612.22,475366.37,9463.43,9545.17,475386.93
32778085,9583.61,9626.25,475188.00,9487.46,9561.39,475347.15
33396189,9611.58,9648.53,474729.53,9512.29,9578.82,475223.62
34014288,9646.34,9672.30,475653.56,9539.10,9597.51,475309.62
34632390,9679.81,9690.44,475019.09,9567.24,9616.10,475251.53
35250493,9717.61,9716.93,475730.53,9597.31,9636.26,475347.31
35868593,9756.78,9743.63,475720.87,9629.21,9657.74,475422.03
36486694,9800.16,9765.87,474838.68,9663.40,9679.37,475305.37
37104796,9842.17,9799.66,475261.46,9699.15,9703.42,475296.62
37722898,9890.04,9819.11,475176.87,9737.33,9726.56,475272.68
38341002,9927.87,9857.00,475747.15,9775.44,9752.65,475367.59
38959102,9980.01,9886.63,475263.81,9816.35,9779.45,475346.87
39577204,10029.30,9925.91,475428.37,9858.94,9808.74,475363.18
40195306,10082.98,9955.52,475331.15,9903.75,9838.09,475356.81
40813407,10135.74,9989.39,475852.90,9950.15,9868.35,475456.06
41431506,10193.59,10024.62,474996.96,9998.84,9899.61,475364.25
42049609,10251.84,10069.69,474848.00,10049.44,9933.62,475261.00
