16:09:42.807 -> Raw,Filtered
16:09:43.390 -> 1583333.50,1583333.50
16:09:44.161 -> 1742627.37,1602448.75
16:09:44.901 -> 1841666.75,1631154.87
16:09:45.667 -> 1898016.87,1663178.25
16:09:46.448 -> 1965217.62,1699423.00
16:09:47.167 -> 1965217.62,1731318.37
16:09:47.946 -> 1991228.12,1762507.50
16:09:48.690 -> 1991228.12,1789954.00
16:09:49.441 -> 2000000.00,1815159.50
16:09:50.228 -> 2008823.62,1838399.25
16:09:50.977 -> 2017699.25,1859915.25
16:09:51.714 -> 2017699.25,1878849.25
16:09:52.471 -> 2017699.25,1895511.25
16:09:53.259 -> 2026627.25,1911245.12
16:09:53.991 -> 2026627.25,1925091.00
16:09:54.774 -> 2026627.25,1937275.37
16:09:55.510 -> 2026627.25,1947997.62
16:09:56.302 -> 2026627.25,1957433.12
16:09:57.025 -> 2026627.25,1965736.37
16:09:57.813 -> 2026627.25,1973043.25
16:09:58.569 -> 2026627.25,1979473.25
16:09:59.335 -> 2035608.25,1986209.50
16:10:00.091 -> 2035608.25,1992137.37
16:10:00.828 -> 2035608.25,1997353.87
16:10:01.584 -> 2026627.25,2000866.62
16:10:02.382 -> 2044642.87,2006119.75
16:10:03.101 -> 2072072.00,2014034.00
16:10:03.892 -> 2017699.25,2014473.75
16:10:04.646 -> 2017699.25,2014860.75
16:10:05.392 -> 2017699.25,2015201.37
16:10:06.130 -> 2026627.25,2016572.50
16:10:06.892 -> 2035608.25,2018856.75
16:10:07.656 -> 2035608.25,2020866.87
16:10:08.443 -> 2035608.25,2022635.87
16:10:09.202 -> 2035608.25,2024192.50
16:10:09.956 -> 2026627.25,2024484.62
16:10:10.684 -> 2035608.25,2025819.50
16:10:11.450 -> 2026627.25,2025916.37
16:10:12.222 -> 2035608.25,2027079.37
16:10:12.988 -> 2035608.25,2028102.87
16:10:13.733 -> 2035608.25,2029003.50
16:10:14.505 -> 2035608.25,2029796.12
16:10:15.264 -> 2035608.25,2030493.62
16:10:16.015 -> 2044642.87,2032191.50
16:10:16.785 -> 2044642.87,2033685.62
16:10:17.549 -> 2053731.50,2036091.12
16:10:18.285 -> 2044642.87,2037117.25
16:10:19.063 -> 2044642.87,2038020.25
16:10:19.809 -> 2035608.25,2037730.75
