09:09:59.275 -> Raw,Filtered
09:09:59.868 -> 1650259.00,1650259.00
09:10:00.602 -> 1841666.75,1673227.87
09:10:01.375 -> 2100000.00,1724440.50
09:10:02.121 -> 2017699.25,1759631.50
09:10:02.895 -> 2026627.25,1791671.00
09:10:03.640 -> 2035608.25,1820943.50
09:10:04.411 -> 2044642.87,1847787.37
09:10:05.159 -> 2062874.37,1873597.75
09:10:05.935 -> 2072072.00,1897414.62
09:10:06.693 -> 2072072.00,1918373.50
09:10:07.450 -> 2081325.25,1937927.62
09:10:08.208 -> 2081325.25,1955135.25
09:10:08.983 -> 2072072.00,1969167.62
09:10:09.702 -> 2072072.00,1981516.12
09:10:10.473 -> 2072072.00,1992382.75
09:10:11.258 -> 2053731.50,1999744.50
09:10:11.980 -> 2072072.00,2008423.75
09:10:12.753 -> 2081325.25,2017171.87
09:10:13.507 -> 2081325.25,2024870.25
09:10:14.284 -> 2081325.25,2031644.75
09:10:15.026 -> 2081325.25,2037606.37
09:10:15.816 -> 2090634.37,2043969.75
09:10:16.566 -> 2090634.37,2049569.50
09:10:17.338 -> 2090634.37,2054497.25
09:10:18.068 -> 2081325.25,2057716.62
09:10:18.843 -> 2081325.25,2060549.62
09:10:19.581 -> 2081325.25,2063042.62
09:10:20.327 -> 2090634.37,2066353.62
09:10:21.105 -> 2090634.37,2069267.25
09:10:21.873 -> 2090634.37,2071831.25
09:10:22.642 -> 2090634.37,2074087.62
09:10:23.402 -> 2090634.37,2076073.25
09:10:24.152 -> 2100000.00,2078944.50
09:10:24.908 -> 2100000.00,2081471.12
09:10:25.652 -> 2090634.37,2082570.75
09:10:26.401 -> 2100000.00,2084662.25
09:10:27.188 -> 2090634.37,2085378.87
09:10:27.917 -> 2090634.37,2086009.50
09:10:28.674 -> 2090634.37,2086564.50
09:10:29.432 -> 2090634.37,2087052.87
09:10:30.197 -> 2090634.37,2087482.62
09:10:30.951 -> 2090634.37,2087860.87
09:10:31.718 -> 2090634.37,2088193.62
09:10:32.471 -> 2090634.37,2088486.50
09:10:33.232 -> 2100000.00,2089868.12
09:10:34.015 -> 2100000.00,2091084.00
09:10:34.782 -> 2090634.37,2091030.00
09:10:35.510 -> 2100000.00,2092106.37
09:10:36.291 -> 2090634.37,2091929.75
09:10:37.045 -> 2090634.37,2091774.25
09:10:37.778 -> 2090634.37,2091637.50
09:10:38.563 -> 2090634.37,2091517.12
09:10:39.310 -> 2090634.37,2091411.12
09:10:40.058 -> 2100000.00,2092441.75
09:10:40.839 -> 2100000.00,2093348.75
09:10:41.575 -> 2090634.37,2093023.00
09:10:42.342 -> 2090634.37,2092736.37
09:10:43.090 -> 2090634.37,2092484.12
09:10:43.887 -> 2100000.00,2093386.00
09:10:44.639 -> 2090634.37,2093055.75
09:10:45.408 -> 2090634.37,2092765.12
09:10:46.142 -> 2090634.37,2092509.37
09:10:46.919 -> 2090634.37,2092284.37
09:10:47.671 -> 2090634.37,2092086.37
09:10:48.410 -> 2090634.37,2091912.12
09:10:49.183 -> 2090634.37,2091758.75
09:10:49.933 -> 2090634.37,2091623.87
09:10:50.684 -> 2100000.00,2092629.00
09:10:51.461 -> 2100000.00,2093513.50
09:10:52.209 -> 2100000.00,2094291.87
09:10:52.987 -> 2090634.37,2093853.00
09:10:53.715 -> 2090634.37,2093466.75
09:10:54.509 -> 2100000.00,2094250.75
09:10:55.253 -> 2100000.00,2094940.62
09:10:56.022 -> 2100000.00,2095547.75
09:10:56.761 -> 2100000.00,2096082.00
09:10:57.553 -> 2100000.00,2096552.12
09:10:58.269 -> 2100000.00,2096965.87
09:10:59.039 -> 2100000.00,2097330.00
09:10:59.819 -> 2100000.00,2097650.50
09:11:00.556 -> 2100000.00,2097932.50
09:11:01.337 -> 2090634.37,2097056.75
09:11:02.061 -> 2090634.37,2096286.00
09:11:02.869 -> 2090634.37,2095607.75
09:11:03.590 -> 2090634.37,2095010.87
09:11:04.368 -> 2090634.37,2094485.62
09:11:05.132 -> 2090634.37,2094023.50
09:11:05.899 -> 2090634.37,2093616.75
09:11:06.620 -> 2090634.37,2093258.87
09:11:07.372 -> 2090634.37,2092943.87
09:11:08.180 -> 2090634.37,2092666.75
09:11:08.893 -> 2090634.37,2092422.87
09:11:09.680 -> 2090634.37,2092208.25
09:11:10.443 -> 2090634.37,2092019.37
09:11:11.182 -> 2100000.00,2092977.00
09:11:11.948 -> 2090634.37,2092695.87
09:11:12.697 -> 2090634.37,2092448.50
09:11:13.447 -> 2090634.37,2092230.75
09:11:14.205 -> 2090634.37,2092039.12
09:11:14.991 -> 2090634.37,2091870.50
09:11:15.755 -> 2109422.50,2093976.75
09:11:16.493 -> 2090634.37,2093575.62
09:11:17.269 -> 2109422.50,2095477.25
09:11:18.005 -> 2100000.00,2096020.00
09:11:18.755 -> 2081325.25,2094256.62
09:11:19.517 -> 2081325.25,2092704.87
09:11:20.301 -> 2090634.37,2092456.37
09:11:21.032 -> 2100000.00,2093361.62
09:11:21.794 -> 2100000.00,2094158.25
09:11:22.566 -> 2100000.00,2094859.25
09:11:23.347 -> 2100000.00,2095476.12
09:11:24.095 -> 2090634.37,2094895.12
09:11:24.829 -> 2100000.00,2095507.75
09:11:25.587 -> 2100000.00,2096046.75
09:11:26.349 -> 2100000.00,2096521.12
09:11:27.141 -> 2100000.00,2096938.62
09:11:27.879 -> 2100000.00,2097306.00
09:11:28.630 -> 2100000.00,2097629.25
09:11:29.426 -> 2100000.00,2097913.75
09:11:30.181 -> 2100000.00,2098164.00
09:11:30.898 -> 2100000.00,2098384.25
09:11:31.693 -> 2109422.50,2099708.75
09:11:32.443 -> 2100000.00,2099743.75
09:11:33.185 -> 2100000.00,2099774.50
09:11:33.947 -> 2100000.00,2099801.50
09:11:34.732 -> 2100000.00,2099825.25
09:11:35.476 -> 2100000.00,2099846.25
09:11:36.246 -> 2100000.00,2099864.75
09:11:36.998 -> 2100000.00,2099881.00
09:11:37.770 -> 2100000.00,2099895.25
09:11:38.490 -> 2100000.00,2099907.75
09:11:39.253 -> 2109422.50,2101049.50
09:11:40.020 -> 2109422.50,2102054.25
09:11:40.785 -> 2100000.00,2101807.75
09:11:41.550 -> 2100000.00,2101590.75
09:11:42.294 -> 2100000.00,2101400.00
09:11:43.050 -> 2100000.00,2101232.00
09:11:43.801 -> 2100000.00,2101084.00
09:11:44.607 -> 2100000.00,2100954.00
09:11:45.346 -> 2090634.37,2099715.50
09:11:46.100 -> 2100000.00,2099749.50
09:11:46.836 -> 2100000.00,2099779.50
09:11:47.594 -> 2100000.00,2099806.00
09:11:48.398 -> 2090634.37,2098705.50
09:11:49.142 -> 2100000.00,2098861.00
09:11:49.895 -> 2100000.00,2098997.50
09:11:50.661 -> 2100000.00,2099117.75
09:11:51.402 -> 2090634.37,2098099.75
09:11:52.169 -> 2100000.00,2098327.75
09:11:52.169 -> 2100000.00,2098327.75
09:11:52.906 -> 2100000.00,2098528.50
09:11:53.691 -> 2100000.00,2098705.00
09:11:54.450 -> 2100000.00,2098860.50
09:11:55.218 -> 2109422.50,2100128.00
09:11:55.983 -> 2109422.50,2101243.25
09:11:56.714 -> 2109422.50,2102224.75
09:11:57.456 -> 2100000.00,2101957.75
09:11:58.260 -> 2100000.00,2101722.75
09:11:58.985 -> 2100000.00,2101516.00
09:11:59.782 -> 2081325.25,2099093.25
09:12:00.507 -> 2100000.00,2099202.00
09:12:01.272 -> 2100000.00,2099297.75
09:12:02.044 -> 2100000.00,2099382.00
09:12:02.789 -> 2100000.00,2099456.00
09:12:03.555 -> 2100000.00,2099521.25
