id,capteur,raw,filtered,date
1,a0,5017648.0,5913484.0,2026-05-04 12:22:45.475830
2,a1,1300297.0,1345502.0,2026-05-04 12:22:45.616698
3,a2,3608142.0,4038136.0,2026-05-04 12:22:45.733614
4,a3,4222266.0,4372772.0,2026-05-04 12:22:45.825710
5,a6,0.0,5.822889e-24,2026-05-04 12:22:45.933819
6,a0,5089287.0,5831064.0,2026-05-04 12:24:47.836346
7,a1,1311166.0,1342069.0,2026-05-04 12:24:47.924321
8,a2,3632785.0,3997601.0,2026-05-04 12:24:48.108132
9,a3,4222069.0,4357701.0,2026-05-04 12:24:48.214365
10,a6,0.0,5.2406e-24,2026-05-04 12:24:48.327497
11,a0,6497102.0,6486127.0,2026-05-04 12:26:51.484367
12,a1,1356657.0,1358330.0,2026-05-04 12:26:51.521428
13,a2,4320596.0,4318275.0,2026-05-04 12:26:51.627815
14,a3,4497557.0,4499544.0,2026-05-04 12:26:51.814723
15,a6,0.0,7.284855e-30,2026-05-04 12:26:51.919450
16,a0,6502093.0,6487724.0,2026-05-04 12:28:53.789466
17,a1,1353701.0,1357867.0,2026-05-04 12:28:53.816367
18,a2,4320596.0,4318507.0,2026-05-04 12:28:53.915974
19,a3,4508486.0,4500438.0,2026-05-04 12:28:54.107527
20,a6,0.0,6.556369e-30,2026-05-04 12:28:54.211306
21,a0,6634329.0,6635413.0,2026-05-04 12:30:56.604608
22,a1,1346830.0,1347313.0,2026-05-04 12:30:56.631042
23,a2,4333197.0,4334418.0,2026-05-04 12:30:56.811986
24,a3,3884284.0,3715882.0,2026-05-04 12:30:56.919913
25,a6,0.0,9.113883e-36,2026-05-04 12:30:57.051299
26,a0,6634329.0,6635304.0,2026-05-04 12:32:58.966222
27,a1,1352712.0,1347853.0,2026-05-04 12:32:59.017167
28,a2,4345877.0,4335564.0,2026-05-04 12:32:59.115928
29,a3,3886423.0,3732936.0,2026-05-04 12:32:59.232945
30,a6,0.0,8.202495e-36,2026-05-04 12:32:59.407016
31,a0,7525001.0,7651843.0,2026-05-04 12:35:01.979052
32,a1,1404493.0,1405537.0,2026-05-04 12:35:02.076258
33,a2,4756047.0,4798820.0,2026-05-04 12:35:02.209153
34,a3,5301074.0,5380345.0,2026-05-04 12:35:02.322274
35,a6,0.0,0.0,2026-05-04 12:35:02.422910
36,a0,7525001.0,7639159.0,2026-05-04 12:37:04.549838
37,a1,1403466.0,1405329.0,2026-05-04 12:37:04.698463
38,a2,4747192.0,4793657.0,2026-05-04 12:37:04.823254
39,a3,5286770.0,5370988.0,2026-05-04 12:37:04.925952
40,a6,0.0,0.0,2026-05-04 12:37:05.046420
41,a0,7119048.0,7069748.0,2026-05-04 12:40:09.681338
42,a1,1433618.0,1433402.0,2026-05-04 12:40:09.717799
43,a2,4584641.0,4579205.0,2026-05-04 12:40:09.818249
44,a3,5234410.0,5207562.0,2026-05-04 12:40:10.006926
45,a6,0.0,0.0,2026-05-04 12:40:10.116961
46,a0,7142666.0,7146927.0,2026-05-04 12:41:00.924880
47,a1,1435193.0,1436688.0,2026-05-04 12:41:01.017601
48,a2,4651933.0,4651204.0,2026-05-04 12:41:01.127384
49,a3,5297206.0,5372001.0,2026-05-04 12:41:01.234483
50,a6,0.0,960.8079,2026-05-04 12:41:01.414054
51,a0,7124952.0,7144729.0,2026-05-04 12:43:03.716097
52,a1,1432569.0,1436276.0,2026-05-04 12:43:03.820929
53,a2,4640641.0,4650147.0,2026-05-04 12:43:04.010090
54,a3,5297422.0,5364543.0,2026-05-04 12:43:04.113449
55,a6,0.0,864.7271,2026-05-04 12:43:04.307865
