id,capteur,raw,filtered,date
1,a0,143.3171,143.148,2026-05-04 13:31:40.005606
2,a1,115.2683,116.1076,2026-05-04 13:31:40.108484
4,a3,162.8293,163.4159,2026-05-04 13:31:40.312478
6,a0,143.3171,143.1565,2026-05-04 13:33:42.695308
7,a1,115.3171,116.068,2026-05-04 13:33:42.789238
9,a0,144.2683,144.047,2026-05-04 13:36:17.129083
10,a1,113.439,113.7801,2026-05-04 13:36:17.209009
11,a2,208.439,185.9007,2026-05-04 13:36:17.310211
12,a3,163.0244,162.9945,2026-05-04 13:36:17.416633
14,a0,144.2439,144.1031,2026-05-04 13:38:19.502386
15,a1,113.4878,113.6675,2026-05-04 13:38:19.546397
16,a2,151.5122,158.9651,2026-05-04 13:38:19.711299
17,a3,163.1707,163.1326,2026-05-04 13:38:19.822511
19,a0,144.4146,144.2973,2026-05-04 13:40:22.625495
20,a1,113.0,113.3301,2026-05-04 13:40:22.727350
21,a2,151.7073,158.6023,2026-05-04 13:40:22.832291
22,a3,162.9024,163.1211,2026-05-04 13:40:22.930861
24,a0,144.1951,144.3365,2026-05-04 13:43:27.911419
25,a1,112.6829,112.7734,2026-05-04 13:43:28.012436
26,a2,151.2439,155.3445,2026-05-04 13:43:28.115713
27,a3,162.2683,162.3276,2026-05-04 13:43:28.216815
29,a0,144.1951,144.3295,2026-05-04 13:45:31.128051
30,a1,112.6098,112.7652,2026-05-04 13:45:31.216813
31,a2,2.936,155.3445,2026-05-04 13:45:31.320286
32,a0,144.3415,144.2371,2026-05-04 13:47:34.286281
33,a1,112.3171,112.4331,2026-05-04 13:47:34.340304
34,a2,151.7561,33.4177,2026-05-04 13:47:34.473593
35,a3,163.8049,163.674,2026-05-04 13:47:34.622903
37,a0,144.2927,144.2399,2026-05-04 13:49:37.129459
38,a1,112.2927,112.426,2026-05-04 13:49:37.232842
39,a2,151.9512,150.7106,2026-05-04 13:49:37.357725
40,a3,164.0732,163.694,2026-05-04 13:49:37.473089
42,a0,144.0732,144.1806,2026-05-04 13:51:43.106311
43,a1,110.7561,111.6837,2026-05-04 13:51:43.207897
44,a2,153.2439,152.8543,2026-05-04 13:51:43.311257
45,a3,164.2439,164.1169,2026-05-04 13:51:43.418585
47,a0,144.0488,144.174,2026-05-04 13:53:45.475585
48,a1,110.7561,111.6373,2026-05-04 13:53:45.523624
49,a2,153.3415,152.8786,2026-05-04 13:53:45.726958
50,a3,164.1951,164.1208,2026-05-04 13:53:45.819136
52,a0,143.8293,143.9151,2026-05-04 13:55:51.478578
53,a1,110.6829,110.6787,2026-05-04 13:55:51.521704
54,a2,154.2195,154.0436,2026-05-04 13:55:51.631969
55,a3,164.6341,164.4709,2026-05-04 13:55:51.814065
57,a0,143.8049,143.9096,2026-05-04 13:57:53.796529
58,a1,110.6341,110.6765,2026-05-04 13:57:53.816998
59,a2,154.2683,154.0548,2026-05-04 13:57:53.919022
60,a3,164.561,164.4754,2026-05-04 13:57:54.108376
62,a0,143.4634,143.5218,2026-05-04 14:00:00.875304
63,a1,110.8537,110.7888,2026-05-04 14:00:00.917550
64,a2,153.1951,153.8802,2026-05-04 14:00:01.021705
65,a3,165.8537,165.374,2026-05-04 14:00:01.210711
67,a0,143.4634,143.5189,2026-05-04 14:02:03.632775
68,a1,110.7561,110.7871,2026-05-04 14:02:03.731572
69,a2,153.3171,153.852,2026-05-04 14:02:03.911196
70,a3,165.6829,165.3894,2026-05-04 14:02:04.010413
72,a0,143.4146,143.4791,2026-05-04 14:04:08.967820
73,a1,110.9024,110.9797,2026-05-04 14:04:09.026339
74,a2,151.6098,152.3815,2026-05-04 14:04:09.119781
75,a3,166.1951,165.9815,2026-05-04 14:04:09.275117
77,a0,143.4146,143.4759,2026-05-04 14:06:11.349339
78,a1,110.9268,110.9771,2026-05-04 14:06:11.417361
79,a2,151.7561,152.3502,2026-05-04 14:06:11.517923
80,a3,165.9756,165.9812,2026-05-04 14:06:11.706648
82,a0,142.4634,142.6328,2026-05-04 14:08:17.700702
83,a1,110.4878,110.5867,2026-05-04 14:08:17.788829
84,a2,153.561,152.6112,2026-05-04 14:08:17.917915
85,a3,164.8293,165.3642,2026-05-04 14:08:18.012708
87,a0,142.439,142.6232,2026-05-04 14:10:20.541698
88,a1,110.5366,110.5842,2026-05-04 14:10:20.617512
89,a2,153.6098,152.6611,2026-05-04 14:10:20.719912
90,a3,164.9268,165.3423,2026-05-04 14:10:20.908325
92,a0,142.4634,142.4726,2026-05-04 14:12:26.435712
93,a1,110.5366,110.521,2026-05-04 14:12:26.517292
94,a2,154.7561,154.4689,2026-05-04 14:12:26.618644
95,a3,165.0976,164.8881,2026-05-04 14:12:26.721856
97,a0,142.4878,142.4734,2026-05-04 14:14:28.907730
98,a1,110.5122,110.5206,2026-05-04 14:14:29.017129
99,a2,155.0976,154.5004,2026-05-04 14:14:29.121415
100,a3,165.1219,164.8998,2026-05-04 14:14:29.309268
102,a0,142.3415,142.4618,2026-05-04 14:16:35.398783
103,a1,109.8781,110.1262,2026-05-04 14:16:35.489346
104,a2,155.5122,155.2842,2026-05-04 14:16:35.608892
105,a3,166.1463,165.8301,2026-05-04 14:16:35.714131
107,a0,142.4146,142.4595,2026-05-04 14:18:38.026310
108,a1,109.9512,110.1174,2026-05-04 14:18:38.123461
109,a2,155.5366,155.2968,2026-05-04 14:18:38.218089
110,a3,166.0,165.8386,2026-05-04 14:18:38.406716
112,a0,142.3659,142.4548,2026-05-04 14:20:40.462985
113,a1,110.0244,110.1128,2026-05-04 14:20:40.525031
114,a2,155.64,155.57136,2026-05-04 14:20:40.622395
115,a3,166.2195,166.1119,2026-05-04 14:20:40.730950
117,a0,142.1707,142.1829,2026-05-04 14:22:46.053440
118,a1,109.8537,109.763,2026-05-04 14:22:46.138652
119,a2,155.7805,156.0113,2026-05-04 14:22:46.241603
120,a3,166.5854,166.4389,2026-05-04 14:22:46.413259
122,a0,142.1951,142.1835,2026-05-04 14:24:48.485367
123,a1,109.8049,109.7651,2026-05-04 14:24:48.557696
124,a2,156.0244,156.0119,2026-05-04 14:24:48.713401
125,a3,166.6098,166.4475,2026-05-04 14:24:48.919774
127,a0,142.0244,142.0753,2026-05-04 14:26:55.249679
128,a1,109.561,109.6793,2026-05-04 14:26:55.318170
129,a2,156.3415,156.0964,2026-05-04 14:26:55.512917
130,a3,167.0,166.8233,2026-05-04 14:26:55.624513
132,a0,142.0,142.0715,2026-05-04 14:28:58.049919
133,a1,109.8049,109.6856,2026-05-04 14:28:58.120182
134,a2,156.0244,156.0928,2026-05-04 14:28:58.310092
135,a3,167.0976,166.837,2026-05-04 14:28:58.412819
137,a0,141.8293,141.9399,2026-05-04 14:31:03.801996
138,a1,109.7073,109.6284,2026-05-04 14:31:03.888656
139,a2,156.0488,156.2027,2026-05-04 14:31:03.922398
140,a3,167.2683,167.0708,2026-05-04 14:31:04.109913
142,a0,141.8537,141.9356,2026-05-04 14:33:06.407018
143,a1,109.7073,109.6324,2026-05-04 14:33:06.511963
144,a2,156.0,156.1926,2026-05-04 14:33:06.615254
145,a3,167.3171,167.0831,2026-05-04 14:33:06.716961
147,a0,141.8781,141.9197,2026-05-04 14:35:12.620392
148,a1,109.3659,109.1948,2026-05-04 14:35:12.734287
149,a2,156.439,156.3735,2026-05-04 14:35:12.855216
150,a3,170.8293,169.1725,2026-05-04 14:35:12.971356
152,a0,141.9024,141.9189,2026-05-04 14:37:15.031104
153,a1,109.1951,109.1949,2026-05-04 14:37:15.117247
154,a2,156.3171,156.3707,2026-05-04 14:37:15.221339
155,a3,171.1219,169.27,2026-05-04 14:37:15.342073
157,a0,141.8537,141.9156,2026-05-04 14:39:17.898325
158,a1,109.3659,109.2034,2026-05-04 14:39:18.008004
159,a2,0.0,156.4341,2026-05-04 14:39:18.113536
160,a3,178.3659,173.2641,2026-05-04 14:39:18.224431
162,a0,141.7561,141.8277,2026-05-04 14:42:22.825139
163,a1,109.5366,109.4087,2026-05-04 14:42:22.916271
164,a2,156.8537,156.7329,2026-05-04 14:42:23.015962
165,a3,215.6341,195.7241,2026-05-04 14:42:23.207003
167,a0,141.8049,141.8266,2026-05-04 14:44:25.380325
168,a1,109.561,109.4163,2026-05-04 14:44:25.454184
169,a2,143.0,145.74658,2026-05-04 14:44:25.568110
170,a0,141.9024,141.8504,2026-05-04 14:46:27.449099
171,a1,109.4878,109.4666,2026-05-04 14:46:27.548058
172,a2,156.7561,156.8052,2026-05-04 14:46:27.646202
173,a3,187.1951,197.9356,2026-05-04 14:46:27.819413
175,a0,142.1219,142.1179,2026-05-04 14:48:30.310332
176,a1,108.7805,109.0519,2026-05-04 14:48:30.406617
177,a2,157.4634,157.2568,2026-05-04 14:48:30.508344
178,a3,165.0732,170.3774,2026-05-04 14:48:30.614265
180,a0,142.1463,142.1343,2026-05-04 14:50:32.843503
181,a1,108.2683,108.6653,2026-05-04 14:50:32.945783
182,a2,157.6098,157.3838,2026-05-04 14:50:33.117338
183,a3,163.6585,165.6472,2026-05-04 14:50:33.252055
185,a0,142.1463,142.1389,2026-05-04 14:52:35.610111
186,a1,108.4878,108.4447,2026-05-04 14:52:35.711554
187,a2,157.4878,157.4174,2026-05-04 14:52:35.811726
188,a3,164.3902,164.3578,2026-05-04 14:52:35.916936
190,a0,142.1463,142.2074,2026-05-04 14:54:39.507333
191,a1,109.1707,108.9111,2026-05-04 14:54:39.805527
192,a2,158.7561,158.362,2026-05-04 14:54:40.006114
193,a3,167.1707,166.3194,2026-05-04 14:54:40.212501
195,a0,142.1951,142.2068,2026-05-04 14:56:42.495464
196,a1,109.2439,108.9278,2026-05-04 14:56:42.518649
197,a2,159.7317,158.4305,2026-05-04 14:56:42.617916
198,a3,167.3171,166.3693,2026-05-04 14:56:42.806624
200,a0,142.1707,142.205,2026-05-04 14:58:45.190577
201,a1,109.1951,108.9411,2026-05-04 14:58:45.215445
202,a2,0.0,167.928,2026-05-04 14:58:45.320922
204,a0,142.439,142.327,2026-05-04 15:00:50.345872
205,a1,109.7317,109.6227,2026-05-04 15:00:50.433710
206,a2,196.6829,187.5212,2026-05-04 15:00:50.608166
207,a3,172.561,170.4016,2026-05-04 15:00:50.725864
209,a0,142.4634,142.3338,2026-05-04 15:02:53.423774
210,a1,109.8293,109.633,2026-05-04 15:02:53.507197
211,a2,196.2439,187.9573,2026-05-04 15:02:53.629293
212,a3,172.5122,170.5071,2026-05-04 15:02:53.771718
214,a0,142.4634,142.3403,2026-05-04 15:04:55.855013
215,a1,109.7805,109.6404,2026-05-04 15:04:55.915687
216,a2,156.8049,175.3801,2026-05-04 15:04:56.119254
217,a3,177.9756,174.0326,2026-05-04 15:04:56.212529
219,a0,142.7805,142.7562,2026-05-04 15:07:00.756350
220,a1,110.1951,110.1204,2026-05-04 15:07:00.817077
221,a2,155.0976,156.3199,2026-05-04 15:07:01.007274
222,a3,197.6585,195.2351,2026-05-04 15:07:01.109899
224,a0,142.9024,142.7635,2026-05-04 15:09:03.402516
225,a1,110.2195,110.1254,2026-05-04 15:09:03.490187
226,a2,155.0976,156.2587,2026-05-04 15:09:03.610596
227,a3,195.2195,195.2343,2026-05-04 15:09:03.714053
229,a0,143.1463,143.0099,2026-05-04 15:12:09.781007
230,a1,110.2683,110.341,2026-05-04 15:12:09.831895
231,a2,155.561,155.4814,2026-05-04 15:12:09.936456
232,a3,191.6585,193.4483,2026-05-04 15:12:10.109213
234,a0,143.3415,143.2491,2026-05-04 15:15:15.509921
235,a1,110.5122,110.4553,2026-05-04 15:15:15.612614
236,a2,156.0732,155.7871,2026-05-04 15:15:15.712927
237,a3,198.7317,195.7572,2026-05-04 15:15:15.813018
239,a0,143.4146,143.2573,2026-05-04 15:17:17.863612
240,a1,110.5366,110.4593,2026-05-04 15:17:17.934532
241,a2,155.9268,155.8495,2026-05-04 15:17:18.039745
242,a3,197.2927,197.1697,2026-05-04 15:17:18.208621
244,a0,143.3415,143.3576,2026-05-04 15:19:20.742292
245,a1,110.5854,110.5312,2026-05-04 15:19:20.835604
246,a2,158.3659,156.5023,2026-05-04 15:19:21.010818
247,a3,194.6585,196.6291,2026-05-04 15:19:21.122468
249,a0,143.1951,143.3057,2026-05-04 15:21:23.085325
250,a1,110.5366,110.5474,2026-05-04 15:21:23.139230
251,a2,162.0,159.6436,2026-05-04 15:21:23.236140
252,a3,199.7073,196.8236,2026-05-04 15:21:23.408546
254,a0,143.0488,143.1037,2026-05-04 15:24:28.546494
255,a1,110.7073,110.6409,2026-05-04 15:24:28.713332
256,a2,162.9024,179.2906,2026-05-04 15:24:29.009435
257,a3,214.0244,205.1799,2026-05-04 15:24:29.219800
259,a0,142.9024,142.9763,2026-05-04 15:26:31.983552
260,a1,110.5366,110.6366,2026-05-04 15:26:32.090540
261,a2,156.0488,159.1803,2026-05-04 15:26:32.176977
262,a3,237.9024,227.7894,2026-05-04 15:26:32.323706
264,a0,142.8537,142.9702,2026-05-04 15:28:37.139519
265,a1,110.5122,110.6304,2026-05-04 15:28:37.232120
266,a2,155.8293,159.0128,2026-05-04 15:28:37.345683
267,a3,237.6829,228.2841,2026-05-04 15:28:37.518170
269,a0,142.2927,142.5518,2026-05-04 15:30:41.205472
270,a1,108.8537,109.6373,2026-05-04 15:30:41.308669
271,a2,155.5366,155.9323,2026-05-04 15:30:41.414018
272,a3,264.8049,255.9135,2026-05-04 15:30:41.519658
274,a0,142.2927,142.5518,2026-05-04 15:31:19.127176
275,a1,108.8537,109.6373,2026-05-04 15:31:19.213260
276,a2,155.5366,155.9323,2026-05-04 15:31:19.320739
277,a3,264.8049,255.9135,2026-05-04 15:31:19.505447
279,a0,142.3171,142.5401,2026-05-04 15:33:21.781702
280,a1,108.7805,109.5944,2026-05-04 15:33:21.815913
281,a2,155.561,155.9137,2026-05-04 15:33:21.917084
282,a3,266.8293,256.4593,2026-05-04 15:33:22.107394
284,a0,138.3902,139.9228,2026-05-04 15:35:25.994062
285,a1,108.4878,107.6633,2026-05-04 15:35:26.045447
286,a2,155.9268,155.8353,2026-05-04 15:35:26.165535
287,a3,242.2683,252.7533,2026-05-04 15:35:26.322131
289,a0,138.3171,139.8425,2026-05-04 15:37:28.727350
290,a1,108.561,107.7082,2026-05-04 15:37:28.922401
291,a2,155.8781,155.8375,2026-05-04 15:37:29.209628
292,a3,245.7073,252.401,2026-05-04 15:37:29.337502
294,a0,136.3902,136.8743,2026-05-04 15:39:34.372121
295,a1,108.9756,108.8559,2026-05-04 15:39:34.444673
296,a2,156.0244,156.1211,2026-05-04 15:39:34.584071
297,a3,234.6341,241.6763,2026-05-04 15:39:34.707577
299,a0,136.3902,136.8501,2026-05-04 15:41:37.114047
300,a1,109.0488,108.8656,2026-05-04 15:41:37.216907
301,a2,156.3415,156.1322,2026-05-04 15:41:37.415708
302,a3,232.9268,241.2388,2026-05-04 15:41:37.514068
304,a0,135.6341,135.7608,2026-05-04 15:44:28.997832
305,a1,109.6585,109.6526,2026-05-04 15:44:29.106568
306,a2,155.3659,156.0823,2026-05-04 15:44:29.212094
307,a3,228.9756,229.2908,2026-05-04 15:44:29.316429
309,a0,135.6829,135.7569,2026-05-04 15:46:31.771079
310,a1,109.6341,109.6517,2026-05-04 15:46:31.872193
311,a2,155.3659,156.0464,2026-05-04 15:46:32.023181
312,a3,223.8049,229.0165,2026-05-04 15:46:32.130323
314,a0,135.6341,135.7507,2026-05-04 15:48:34.540521
315,a1,109.7073,109.6545,2026-05-04 15:48:34.663099
316,a2,0.0,154.9216,2026-05-04 15:48:34.807459
317,a3,239.9024,233.3345,2026-05-04 15:48:34.921446
319,a0,136.3659,136.1956,2026-05-04 15:50:39.634908
320,a1,110.1951,110.0272,2026-05-04 15:50:39.942074
321,a2,158.0732,157.2401,2026-05-04 15:50:40.150410
322,a3,187.6098,193.2945,2026-05-04 15:50:40.315984
324,a0,136.3659,136.2041,2026-05-04 15:52:42.318218
325,a1,110.1951,110.0356,2026-05-04 15:52:42.426689
326,a2,158.1463,157.2854,2026-05-04 15:52:42.517710
327,a3,187.7805,193.0188,2026-05-04 15:52:42.716772
329,a0,136.8537,136.6223,2026-05-04 15:54:47.911508
330,a1,110.3171,110.2898,2026-05-04 15:54:47.995896
331,a2,163.0976,161.112,2026-05-04 15:54:48.112784
332,a3,185.5366,185.8859,2026-05-04 15:54:48.241417
334,a0,136.8537,136.6338,2026-05-04 15:56:50.559980
335,a1,110.2683,110.2887,2026-05-04 15:56:50.613958
336,a2,163.3171,161.2222,2026-05-04 15:56:50.718723
337,a3,185.4878,185.866,2026-05-04 15:56:50.905807
339,a0,136.9512,136.6497,2026-05-04 15:58:52.924189
340,a1,110.3171,110.2901,2026-05-04 15:58:53.015627
341,a2,129.0,185.31,2026-05-04 15:58:53.118505
343,a0,137.2683,137.0157,2026-05-04 16:00:55.197029
344,a1,110.5854,110.394,2026-05-04 16:00:55.291456
345,a2,208.2195,172.8087,2026-05-04 16:00:55.407306
346,a3,184.0488,184.5174,2026-05-04 16:00:55.515900
348,a0,137.7073,137.4999,2026-05-04 16:02:58.058908
349,a1,108.5366,108.3619,2026-05-04 16:02:58.135988
350,a2,155.561,156.9313,2026-05-04 16:02:58.242722
351,a3,183.439,183.6729,2026-05-04 16:02:58.407667
353,a0,137.8781,137.7306,2026-05-04 16:05:00.433666
354,a1,109.3659,108.8811,2026-05-04 16:05:00.533689
355,a2,155.4634,155.8013,2026-05-04 16:05:00.646410
356,a3,183.9024,183.4023,2026-05-04 16:05:00.750666
358,a0,139.6829,139.1182,2026-05-04 16:07:05.303051
359,a1,110.1219,109.8539,2026-05-04 16:07:05.407026
360,a2,155.6098,155.5275,2026-05-04 16:07:05.516558
361,a3,181.9268,182.4697,2026-05-04 16:07:05.613823
363,a0,139.6585,139.1452,2026-05-04 16:09:08.273565
364,a1,110.1707,109.8698,2026-05-04 16:09:08.314456
365,a2,155.5854,155.5304,2026-05-04 16:09:08.416966
366,a3,182.0732,182.4499,2026-05-04 16:09:08.610440
368,a0,139.7805,139.177,2026-05-04 16:11:11.547290
369,a1,110.0488,109.8787,2026-05-04 16:11:11.625270
370,a2,11.0,155.5304,2026-05-04 16:11:11.723719
371,a3,181.7073,182.0363,2026-05-04 16:11:11.907000
373,a0,142.9512,142.535,2026-05-04 16:13:16.147633
374,a1,110.7073,110.5923,2026-05-04 16:13:16.214935
375,a2,155.3171,39.90608,2026-05-04 16:13:16.315728
376,a3,182.3171,182.5712,2026-05-04 16:13:16.508097
378,a0,143.0244,142.5594,2026-05-04 16:15:19.052755
379,a1,110.6341,110.5944,2026-05-04 16:15:19.117107
380,a2,155.1463,155.6868,2026-05-04 16:15:19.214803
381,a3,182.6098,182.5732,2026-05-04 16:15:19.407741
383,a0,143.0488,142.5839,2026-05-04 16:17:21.726663
384,a1,110.6341,110.5964,2026-05-04 16:17:21.825655
385,a2,0.0,155.6868,2026-05-04 16:17:21.942216
386,a3,182.4878,182.6716,2026-05-04 16:17:22.106057
388,a0,143.3415,143.0874,2026-05-04 16:19:24.351013
389,a1,110.8781,110.725,2026-05-04 16:19:24.438579
390,a2,155.3415,31.13736,2026-05-04 16:19:24.547917
391,a3,183.8049,182.8994,2026-05-04 16:19:24.651499
393,a0,144.1951,143.9314,2026-05-04 16:21:29.284055
394,a1,109.0,108.7401,2026-05-04 16:21:29.315266
395,a2,156.4146,156.0176,2026-05-04 16:21:29.415893
396,a3,183.2439,183.5695,2026-05-04 16:21:29.525312
398,a0,144.2439,143.947,2026-05-04 16:23:31.663156
399,a1,109.3171,108.769,2026-05-04 16:23:31.717128
400,a2,156.4634,156.0399,2026-05-04 16:23:31.824506
401,a3,182.7317,183.5276,2026-05-04 16:23:32.010529
403,a0,144.1463,143.957,2026-05-04 16:25:34.012054
404,a1,109.2683,108.7939,2026-05-04 16:25:34.116291
406,a3,183.3902,183.345,2026-05-04 16:25:34.318334
408,a0,144.7317,144.5201,2026-05-04 16:27:36.905099
409,a1,110.5366,110.173,2026-05-04 16:27:37.006175
410,a0,144.8049,144.7299,2026-05-04 16:29:39.253329
411,a1,110.7073,110.5535,2026-05-04 16:29:39.320629
