15:26:39.783 -> Raw,Filtered
15:26:39.817 -> 1459134.62,1459134.62
15:26:40.043 -> 1532178.12,1467899.87
15:26:40.281 -> 1583333.50,1481751.87
15:26:40.514 -> 1623076.87,1498710.87
15:26:40.768 -> 1650259.00,1516896.75
15:26:41.010 -> 1685039.25,1537073.87
15:26:41.241 -> 1713527.87,1558248.37
15:26:41.477 -> 1727999.87,1578618.62
15:26:41.706 -> 1757412.25,1600073.87
15:26:41.942 -> 1764864.87,1619848.75
15:26:42.191 -> 1772357.75,1638149.75
15:26:42.424 -> 1795082.12,1656981.62
15:26:42.670 -> 1795082.12,1673553.75
15:26:42.898 -> 1810439.62,1689980.00
15:26:43.141 -> 1818181.75,1705364.25
15:26:43.377 -> 1825966.87,1719836.50
15:26:43.602 -> 1825966.87,1732572.12
15:26:43.949 -> 1833795.12,1744718.87
15:26:44.060 -> 1841666.75,1756352.62
15:26:44.339 -> 1841666.75,1766590.25
15:26:44.559 -> 1849582.25,1776549.25
15:26:44.802 -> 1849582.25,1785313.25
15:26:45.050 -> 1857541.75,1793980.62
15:26:45.246 -> 1857541.75,1801608.00
15:26:45.485 -> 1857541.75,1808320.00
15:26:45.758 -> 1865546.25,1815187.12
15:26:45.989 -> 1865546.25,1821230.12
15:26:46.197 -> 1865546.25,1826548.00
15:26:46.470 -> 1865546.25,1831227.75
15:26:46.704 -> 1865546.25,1835345.87
15:26:46.912 -> 1873595.50,1839935.87
15:26:47.185 -> 1873595.50,1843975.00
15:26:47.395 -> 1873595.50,1847529.50
15:26:47.653 -> 1873595.50,1850657.50
15:26:47.860 -> 1873595.50,1853410.12
15:26:48.101 -> 1881690.00,1856803.62
15:26:48.360 -> 1873595.50,1858818.62
15:26:48.588 -> 1881690.00,1861563.12
15:26:48.903 -> 1881690.00,1863978.25
15:26:49.061 -> 1881690.00,1866103.62
15:26:49.314 -> 1881690.00,1867973.87
15:26:49.554 -> 1881690.00,1869619.75
15:26:49.809 -> 1881690.00,1871068.12
15:26:49.999 -> 1881690.00,1872342.75
15:26:50.320 -> 1881690.00,1873464.37
15:26:50.515 -> 1881690.00,1874451.37
15:26:50.709 -> 1881690.00,1875320.00
15:26:48.588 -> 1881690.00,1861563.12
15:26:48.903 -> 1881690.00,1863978.25
15:26:49.061 -> 1881690.00,1866103.62
15:26:49.314 -> 1881690.00,1867973.87
15:26:49.554 -> 1881690.00,1869619.75
15:26:49.809 -> 1881690.00,1871068.12
15:26:49.999 -> 1881690.00,1872342.75
15:26:50.320 -> 1881690.00,1873464.37
15:26:50.515 -> 1881690.00,1874451.37
15:26:50.709 -> 1881690.00,1875320.00
15:26:50.974 -> 1889830.62,1877061.25
15:26:51.205 -> 1889830.62,1878593.50
15:26:51.469 -> 1889830.62,1879941.87
15:26:51.665 -> 1889830.62,1881128.50
15:26:51.947 -> 1889830.62,1882172.75
15:26:52.151 -> 1889830.62,1883091.62
15:26:52.380 -> 1898016.87,1884882.62
15:26:52.617 -> 1889830.62,1885476.37
15:26:52.901 -> 1898016.87,1886981.25
15:26:53.129 -> 1889830.62,1887323.12
15:26:53.364 -> 1889830.62,1887624.00
15:26:53.581 -> 1898016.87,1888871.12
15:26:53.819 -> 1898016.87,1889968.62
15:26:54.043 -> 1898016.87,1890934.37
15:26:54.281 -> 1889830.62,1890801.87
15:26:54.281 -> 1889830.62,1890801.87
15:26:54.561 -> 1898016.87,1891667.62
15:26:54.798 -> 1898016.87,1892429.50
15:26:55.032 -> 1898016.87,1893100.00
15:26:55.248 -> 1898016.87,1893690.00
15:26:55.481 -> 1898016.87,1894209.25
15:26:55.747 -> 1898016.87,1894666.12
15:26:55.967 -> 1898016.87,1895068.12
15:26:56.197 -> 1898016.87,1895422.00
15:26:56.444 -> 1898016.87,1895733.37
15:26:56.677 -> 1898016.87,1896007.37
15:26:56.911 -> 1898016.87,1896248.50
15:26:57.134 -> 1898016.87,1896460.62
15:26:57.409 -> 1898016.87,1896647.37
15:26:57.635 -> 1898016.87,1896811.62
15:26:57.842 -> 1898016.87,1896956.25
15:26:58.091 -> 1898016.87,1897083.50
15:26:58.347 -> 1898016.87,1897195.50
15:26:58.599 -> 1898016.87,1897294.00
15:26:58.807 -> 1898016.87,1897380.75
15:26:59.057 -> 1898016.87,1897457.00
15:26:59.268 -> 1898016.87,1897524.12
15:26:59.510 -> 1898016.87,1897583.25
15:26:59.789 -> 1898016.87,1897635.25
15:26:59.983 -> 1898016.87,1897681.00
15:27:00.219 -> 1898016.87,1897721.25
15:27:00.481 -> 1898016.87,1897756.75
15:27:00.715 -> 1898016.87,1897787.87
15:27:00.965 -> 1898016.87,1897815.37
15:27:01.182 -> 1898016.87,1897839.50
15:27:01.410 -> 1898016.87,1897860.75
15:27:01.645 -> 1898016.87,1897879.50
15:27:01.928 -> 1898016.87,1897896.00
15:27:02.124 -> 1898016.87,1897910.50
15:27:02.394 -> 1898016.87,1897923.25
15:27:02.624 -> 1898016.87,1897934.50
15:27:02.872 -> 1898016.87,1897944.37
15:27:03.095 -> 1898016.87,1897953.00
15:27:03.307 -> 1898016.87,1897960.62
15:27:03.589 -> 1898016.87,1897967.37
15:27:03.808 -> 1898016.87,1897973.25
15:27:04.020 -> 1898016.87,1897978.50
15:27:04.256 -> 1898016.87,1897983.12
15:27:04.503 -> 1898016.87,1897987.12
15:27:04.768 -> 1898016.87,1897990.62
15:27:04.987 -> 1898016.87,1897993.75
15:27:05.233 -> 1898016.87,1897996.50
15:27:05.483 -> 1898016.87,1897998.87
15:27:05.700 -> 1898016.87,1898001.00
15:27:07.132 -> 1898016.87,1900236.37
15:27:07.348 -> 1906250.00,1900958.00
15:27:07.631 -> 1898016.87,1900605.00
15:27:07.851 -> 1898016.87,1900294.37
15:27:08.085 -> 1898016.87,1900021.00
15:27:08.337 -> 1898016.87,1899780.50
15:27:08.568 -> 1898016.87,1899568.87
15:27:08.802 -> 1898016.87,1899382.62
15:27:09.036 -> 1898016.87,1899218.75
15:27:09.267 -> 1906250.00,1900062.50
15:27:09.518 -> 1898016.87,1899817.00
15:27:09.751 -> 1898016.87,1899601.00
15:27:09.984 -> 1898016.87,1899410.87
15:27:10.215 -> 1906250.00,1900231.50
15:27:10.466 -> 1906250.00,1900953.75
15:27:10.711 -> 1906250.00,1901589.25
